,Win
923,2
924,1
925,2
926,2
927,2
928,0
929,0
930,1
931,0
932,2
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,2
946,1
947,2
948,0
949,2
950,1
951,2
952,2
953,0
954,1
955,0
956,1
957,1
958,2
959,0
960,2
961,2
962,0
963,1
964,2
965,0
966,2
967,2
968,1
969,2
970,2
971,0
972,2
973,2
974,0
975,0
976,0
977,2
978,0
979,0
980,2
981,1
982,1
983,2
984,2
985,2
986,0
987,1
988,2
989,1
990,0
991,2
992,0
993,2
994,0
995,0
996,2
997,1
998,1
999,0
1000,1
1001,2
1002,0
1003,0
1004,0
1005,0
1006,0
1007,2
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,2
1016,0
1017,2
1018,2
1019,1
1020,2
1021,2
1022,0
1023,2
1024,0
1025,0
1026,2
1027,2
1028,0
1029,0
1030,2
1031,1
1032,1
1033,0
1034,2
1035,1
1036,2
1037,2
1038,2
1039,1
1040,2
1041,2
1042,1
1043,1
1044,2
1045,0
1046,2
1047,0
1048,2
1049,2
1050,2
1051,0
1052,2
1053,0
1054,0
1055,0
1056,1
1057,2
1058,0
1059,0
1060,2
1061,2
1062,2
1063,0
1064,2
1065,1
1066,2
1067,0
1068,0
1069,1
1070,0
1071,2
1072,2
1073,0
1074,2
1075,0
1076,0
1077,0
1078,2
1079,2
1080,1
1081,0
1082,1
1083,2
1084,2
1085,0
1086,1
1087,0
1088,2
1089,2
1090,0
1091,2
1092,1
1093,1
1094,0
1095,2
1096,2
1097,2
1098,2
1099,0
1100,0
1101,2
1102,0
1103,2
1104,2
1105,0
1106,0
1107,1
1108,0
1109,2
1110,0
1111,0
1112,0
1113,2
1114,2
1115,0
1116,0
1117,2
1118,0
1119,2
1120,2
1121,2
1122,1
1123,2
1124,1
1125,2
1126,0
1127,2
1128,2
1129,2
1130,1
1131,2
1132,2
1133,0
1134,2
1135,2
1136,0
1137,0
1138,0
1139,1
1140,2
1141,2
1142,0
1143,2
1144,2
1145,1
1146,2
1147,0
1148,1
1149,0
1150,0
1151,2
1152,0
1153,0
1154,0
1155,0
1156,2
1157,2
1158,1
1159,2
1160,2
1161,0
1162,0
1163,0
1164,2
1165,1
1166,2
1167,0
1168,2
1169,2
1170,2
1171,2
1172,1
1173,2
1174,1
1175,0
1176,2
1177,1
1178,2
1179,2
1180,0
1181,1
1182,0
1183,0
1184,0
1185,2
1186,2
1187,2
1188,0
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,0
1196,1
1197,0
1198,2
1199,1
1200,2
1201,2
1202,1
1203,2
1204,0
1205,2
1206,2
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,2
1214,1
1215,0
1216,0
1217,0
1218,0
1219,1
1220,2
1221,1
1222,1
1223,2
1224,2
1225,1
1226,2
1227,2
1228,0
1229,2
1230,2
1231,2
1232,0
1233,0
1234,0
1235,2
1236,0
