,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,10,2022-03-10,4,0,0.59,7,0,0.0,338,282,83.43,35.67,80,10,39,31,66,28,32,6,180,72,40.0,3,0,0.0,21,5,23.81,3,0,0.0,17,0,0.0,2,0,0.0,4,0,0.0,0,0,0,5,2,40.0,2,4,11,2,4,7,58,13,22.41,4,4,10,6,60.0,58,35,60.34,38,11,28.95,6,4,66.67,44,12,10,2,0,117,80,68.38,69,66,95.65,119,111,93.28,49,29,59.18,40,23,57.5,63,39,61.9,3,1,33.33,14,14,100.0,5,17.61,3.76,14.5,19.36,20.9,18.04,0,0
11,11,11,2022-03-06,10,2,0.95,12,7,58.33,398,311,78.14,44.71,108,19,32,57,80,43,26,11,229,104,45.41,6,3,50.0,32,7,21.88,1,1,100.0,21,2,9.52,1,0,0.0,2,0,0.0,0,0,0,11,4,36.36,4,6,22,5,6,14,77,20,25.97,2,3,16,4,25.0,67,34,50.75,41,30,73.17,2,1,50.0,37,9,5,1,0,147,90,61.22,47,42,89.36,134,120,89.55,49,20,40.82,52,24,46.15,60,33,55.0,3,2,66.67,37,32,86.49,10,16.82,3.49,12.31,22.68,19.07,27.62,1,0
12,12,12,2022-02-26,4,0,0.73,9,2,22.22,326,258,79.14,36.68,113,32,39,42,89,54,25,10,193,83,43.01,4,1,25.0,20,6,30.0,3,1,33.33,23,2,8.7,3,1,33.33,0,0,0.0,0,0,0,5,2,40.0,2,6,11,1,2,8,63,23,36.51,2,0,21,4,19.05,69,40,57.97,32,10,31.25,3,3,100.0,61,22,7,0,0,140,94,67.14,69,64,92.75,68,60,88.24,49,30,61.22,39,21,53.85,74,51,68.92,0,0,0.0,13,10,76.92,17,15.87,3.13,15.03,18.62,19.59,14.87,0,1
13,13,13,2022-02-23,10,1,1.24,8,1,12.5,435,361,82.99,44.73,107,20,39,48,83,44,31,8,201,99,49.25,2,0,0.0,30,4,13.33,1,0,0.0,19,4,21.05,6,3,50.0,2,1,50.0,0,0,0,11,4,36.36,4,2,16,1,10,10,64,24,37.5,2,4,7,5,71.43,77,47,61.04,28,16,57.14,5,1,20.0,40,14,12,2,0,135,91,67.41,73,65,89.04,187,172,91.98,62,31,50.0,56,37,66.07,67,44,65.67,2,0,0.0,23,22,95.65,4,17.06,4.35,14.25,14.92,20.9,16.92,1,0
14,14,14,2022-02-19,10,1,1.27,8,4,50.0,361,290,80.33,41.19,121,43,42,36,76,42,26,8,230,100,43.48,3,0,0.0,11,2,18.18,6,4,66.67,27,2,7.41,5,0,0.0,1,0,0.0,0,0,0,8,2,25.0,2,5,22,5,4,11,81,25,30.86,0,0,17,1,5.88,72,40,55.56,42,20,47.62,2,1,50.0,66,36,7,2,0,130,83,63.85,61,59,96.72,113,102,90.27,52,20,38.46,38,21,55.26,54,37,68.52,1,1,100.0,27,23,85.19,12,16.43,3.54,14.4,18.0,19.24,19.5,0,2
15,15,15,2022-02-12,3,0,0.74,9,1,11.11,328,256,78.05,36.4,133,20,62,51,99,44,44,11,241,100,41.49,3,0,0.0,26,6,23.08,4,0,0.0,18,2,11.11,4,2,50.0,3,2,66.67,0,0,0,13,4,30.77,4,8,22,5,12,13,77,22,28.57,1,2,11,5,45.45,70,41,58.57,38,10,26.32,7,3,42.86,64,10,16,3,0,133,97,72.93,41,35,85.37,94,76,80.85,54,35,64.81,41,30,73.17,72,48,66.67,1,1,100.0,20,15,75.0,5,17.41,3.15,16.46,17.91,18.18,8.86,1,0
16,16,16,2022-02-08,3,0,0.54,6,1,16.67,305,245,80.33,41.38,112,22,45,45,88,37,41,10,222,104,46.85,4,1,25.0,24,4,16.67,2,2,100.0,19,0,0.0,6,0,0.0,0,0,0.0,0,0,0,11,4,36.36,4,5,17,3,7,13,57,28,49.12,1,1,8,3,37.5,49,28,57.14,74,30,40.54,6,3,50.0,56,41,6,0,0,110,79,71.82,49,46,93.88,90,77,85.56,35,25,71.43,37,27,72.97,65,50,76.92,3,2,66.67,20,19,95.0,10,14.35,2.88,11.48,21.69,18.15,13.1,0,0
17,17,17,2022-02-05,3,0,0.82,10,5,50.0,345,259,75.07,48.8,123,24,52,47,98,37,45,16,223,112,50.22,4,1,25.0,26,6,23.08,1,0,0.0,31,4,12.9,7,2,28.57,3,0,0.0,0,0,0,15,6,40.0,8,7,20,3,10,22,68,30,44.12,0,0,13,2,15.38,60,45,75.0,48,20,41.67,3,2,66.67,82,21,9,2,0,139,88,63.31,54,48,88.89,94,79,84.04,50,29,58.0,43,25,58.14,73,45,61.64,2,1,50.0,20,16,80.0,7,16.05,3.0,14.49,18.47,19.92,6.93,0,1
18,18,18,2022-01-21,10,0,1.4,15,4,26.67,529,445,84.12,68.19,105,10,37,58,96,42,39,15,264,134,50.76,7,0,0.0,34,9,26.47,3,2,66.67,20,4,20.0,5,2,40.0,2,2,100.0,0,0,0,21,4,19.05,5,9,24,4,11,19,91,42,46.15,1,3,6,3,50.0,74,42,56.76,44,22,50.0,1,1,100.0,35,11,16,1,1,159,124,77.99,72,68,94.44,228,196,85.96,60,40,66.67,64,47,73.44,80,63,78.75,0,0,0.0,17,17,100.0,5,17.62,4.81,11.34,19.39,21.07,4.88,1,0
19,19,19,2022-01-15,10,1,1.41,17,5,29.41,374,315,84.22,46.09,119,31,56,32,104,52,38,14,246,119,48.37,8,0,0.0,21,7,33.33,1,1,100.0,27,7,25.93,6,3,50.0,3,1,33.33,0,0,0,11,6,54.55,5,8,20,4,7,17,75,30,40.0,1,1,11,1,9.09,70,43,61.43,66,29,43.94,3,0,0.0,33,18,13,2,0,136,108,79.41,47,42,89.36,131,117,89.31,53,36,67.92,34,27,79.41,71,52,73.24,3,1,33.33,20,16,80.0,9,17.81,3.4,14.17,19.86,18.4,11.71,0,1
