,Unnamed: 0,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,10,2022-08-27,1,2,0.2,2,2,100.0,234,186,79.49,25.53,84,27,39,18,61,45,15,1,171,80,46.78,1,1,100.0,9,1,11.11,1,0,0.0,23,1,4.35,1,1,100.0,1,0,0.0,0,0,0,3,0,0.0,0,0,6,1,2,3,56,20,35.71,1,4,18,5,27.78,60,41,68.33,27,9,33.33,4,1,25.0,52,23,8,2,0,88,56,63.64,45,42,93.33,65,57,87.69,42,21,50.0,24,12,50.0,48,24,50.0,2,2,100.0,10,10,100.0,10,16.21,3.21,17.95,17.43,21.28,34.9,0,0
11,11,11,2022-08-20,10,3,3.48,15,7,46.67,429,367,85.55,47.44,97,16,38,43,81,36,34,11,215,109,50.7,2,0,0.0,31,9,29.03,3,1,33.33,25,3,12.0,4,2,50.0,2,0,0.0,1,0,0,11,6,54.55,6,8,22,9,5,23,85,40,47.06,1,1,12,5,41.67,73,39,53.42,26,14,53.85,7,5,71.43,33,14,16,2,0,146,112,76.71,72,71,98.61,130,119,91.54,48,29,60.42,56,37,66.07,71,54,76.06,2,1,50.0,24,23,95.83,6,19.61,4.56,11.19,14.87,19.08,11.62,1,2
12,12,12,2022-08-15,1,1,1.8,7,3,42.86,252,188,74.6,28.88,124,41,52,31,96,66,23,7,230,118,51.3,2,1,50.0,12,3,25.0,2,1,50.0,24,3,12.5,2,1,50.0,0,0,0.0,0,0,0,7,1,14.29,1,2,17,5,5,13,72,23,31.94,2,1,21,3,14.29,75,57,76.0,33,16,48.48,12,8,66.67,65,43,8,4,0,115,74,64.35,35,30,85.71,67,57,85.07,47,23,48.94,31,18,58.06,58,36,62.07,5,2,40.0,17,15,88.24,16,15.08,2.38,18.65,15.54,21.51,28.11,0,1
13,13,13,2022-08-05,6,0,1.0,7,2,28.57,548,472,86.13,56.32,106,19,37,50,97,42,36,19,234,104,44.44,2,0,0.0,27,5,18.52,2,1,50.0,19,1,5.26,3,0,0.0,4,1,25.0,0,0,0,20,5,25.0,6,6,25,5,11,21,82,30,36.59,1,2,9,3,33.33,80,46,57.5,29,14,48.28,4,2,50.0,40,17,16,1,0,165,130,78.79,103,97,94.17,208,190,91.35,60,35,58.33,68,48,70.59,89,73,82.02,2,0,0.0,25,25,100.0,4,17.61,5.43,10.95,15.66,22.12,9.77,1,0
14,14,14,2022-05-22,6,1,1.35,7,3,42.86,286,231,80.77,40.32,104,24,39,41,89,46,28,15,202,98,48.51,1,0,0.0,13,2,15.38,2,0,0.0,33,5,15.15,3,0,0.0,5,2,40.0,0,0,0,4,2,50.0,2,5,9,2,1,10,89,39,43.82,2,0,8,4,50.0,53,25,47.17,37,18,48.65,4,2,50.0,50,23,12,2,0,105,68,64.76,54,52,96.3,86,79,91.86,43,27,62.79,30,19,63.33,66,44,66.67,4,2,50.0,21,18,85.71,6,15.03,2.78,15.03,12.83,20.61,12.44,1,2
15,15,15,2022-05-19,10,2,1.59,7,5,71.43,448,360,80.36,59.12,143,35,49,59,90,37,42,11,223,97,43.5,1,0,0.0,26,3,11.54,1,1,100.0,25,3,12.0,5,1,20.0,1,1,100.0,0,0,0,16,3,18.75,3,6,27,3,13,10,70,24,34.29,3,3,11,6,54.55,58,35,60.34,54,21,38.89,3,0,0.0,46,14,12,3,0,158,105,66.46,72,71,98.61,159,137,86.16,54,28,51.85,50,27,54.0,81,44,54.32,3,2,66.67,24,19,79.17,13,16.63,4.0,12.05,13.19,20.11,7.24,0,0
16,16,16,2022-05-15,7,1,0.91,11,4,36.36,461,391,84.82,52.11,114,17,36,61,90,33,40,17,188,87,46.28,6,3,50.0,31,9,29.03,0,0,0.0,22,2,9.09,5,1,20.0,4,2,50.0,0,0,0,15,5,33.33,5,6,20,1,12,18,84,30,35.71,0,1,12,3,25.0,52,27,51.92,29,16,55.17,5,2,40.0,54,7,15,3,0,170,125,73.53,87,87,100.0,160,141,88.13,48,27,56.25,54,36,66.67,71,54,76.06,2,0,0.0,23,20,86.96,6,18.25,4.39,10.41,20.58,19.52,6.22,0,1
17,17,17,2022-05-07,10,1,2.32,16,7,43.75,519,450,86.71,67.68,84,7,28,49,76,28,35,13,201,91,45.27,3,0,0.0,32,9,28.13,4,2,50.0,29,3,10.34,8,2,25.0,6,0,0.0,1,1,100,15,6,40.0,5,11,29,5,11,23,83,38,45.78,2,0,5,1,20.0,45,22,48.89,30,14,46.67,3,2,66.67,32,9,11,2,0,149,111,74.5,79,77,97.47,222,207,93.24,58,34,58.62,58,38,65.52,64,59,92.19,7,3,42.86,25,23,92.0,3,16.85,4.4,11.18,16.06,20.96,6.34,1,2
18,18,18,2022-04-30,10,2,1.6,12,5,41.67,497,428,86.12,64.84,115,20,44,51,101,42,44,15,279,133,47.67,4,1,25.0,33,9,27.27,2,0,0.0,27,3,11.11,7,2,28.57,1,1,100.0,0,0,0,15,8,53.33,8,6,23,2,11,19,112,45,40.18,4,1,8,4,50.0,57,41,71.93,57,25,43.86,1,0,0.0,56,27,11,3,0,163,123,75.46,75,67,89.33,167,154,92.22,56,36,64.29,59,41,69.49,84,67,79.76,7,5,71.43,24,23,95.83,7,16.29,4.48,11.27,15.67,18.98,7.18,0,2
19,19,19,2022-04-25,10,0,1.96,17,7,41.18,409,329,80.44,54.57,133,17,43,73,95,41,37,17,255,114,44.71,3,0,0.0,31,10,32.26,1,0,0.0,28,7,25.0,6,1,16.67,6,3,50.0,0,0,0,11,8,72.73,8,10,24,2,9,24,116,44,37.93,1,0,9,2,22.22,55,28,50.91,47,23,48.94,3,1,33.33,47,8,12,2,0,158,103,65.19,69,66,95.65,147,132,89.8,55,30,54.55,58,35,60.34,80,59,73.75,1,0,0.0,30,26,86.67,10,15.97,3.59,13.45,14.71,21.83,6.74,1,1
