,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
10,2022-08-30,Crystal Palace - Brentford 1:1,Brentford,4-3-3,1,1.96,9,3,33.33,461,381,82.65,48.76,115,17,46,52,97,35,48,14,241,115,47.72,1,0,0.0,29,6,20.69,0,0,0.0,25,3,12.0,6,2,33.33,5,1,20.0,0,0,0,18,9,50.0,9,6,31,5,13,22,74,24,32.43,0,1,13,4,30.77,94,65,69.15,35,13,37.14,5,2,40.0,48,11,8,2,0,152,111,73.03,56,51,91.07,165,148,89.7,66,40,60.61,54,35,64.81,70,51,72.86,2,1,50.0,20,18,90.0,10,18.03,4.15,14.32,11.54,18.9,8.25,Crystal Palace,Brentford,0,0
11,2022-08-27,Brentford - Everton 1:1,Brentford,4-1-4-1,1,2.82,17,6,35.29,505,437,86.53,55.84,91,11,27,53,77,33,29,15,239,108,45.19,5,1,20.0,37,13,35.14,3,1,33.33,25,3,12.0,8,3,37.5,2,0,0.0,0,0,0,32,12,37.5,13,13,36,1,23,28,81,28,34.57,0,1,13,6,46.15,54,39,72.22,65,24,36.92,3,1,33.33,34,11,8,2,0,142,114,80.28,62,59,95.16,232,209,90.09,47,29,61.7,59,48,81.36,77,62,80.52,6,3,50.0,25,24,96.0,7,17.41,5.0,9.31,15.0,18.33,9.92,Brentford,Everton,1,0
12,2022-08-20,Fulham - Brentford 3:2,Brentford,4-1-4-1,2,1.45,11,5,45.45,379,306,80.74,56.58,101,18,34,49,82,37,33,12,240,107,44.58,2,1,50.0,26,7,26.92,0,0,0.0,25,4,16.0,3,3,100.0,1,0,0.0,0,0,0,13,7,53.85,6,8,23,3,9,20,62,23,37.1,7,3,15,8,53.33,60,39,65.0,55,22,40.0,4,3,75.0,31,7,8,2,0,134,86,64.18,55,52,94.55,154,140,90.91,69,39,56.52,59,36,61.02,92,67,72.83,5,1,20.0,30,25,83.33,5,16.53,3.45,18.21,13.74,22.63,7.32,Fulham,Brentford,0,-1
13,2022-08-13,Brentford - Manchester United 4:0,Brentford,5-3-2,4,1.75,12,6,50.0,230,171,74.35,34.16,96,24,30,42,82,35,29,18,190,86,45.26,6,2,33.33,23,6,26.09,1,1,100.0,33,4,12.12,8,5,62.5,3,0,0.0,0,0,0,11,0,0.0,0,3,14,2,5,16,61,28,45.9,1,0,15,4,26.67,51,27,52.94,37,16,43.24,0,0,0.0,43,18,6,0,0,87,57,65.52,50,44,88.0,42,30,71.43,41,26,63.41,31,24,77.42,56,31,55.36,2,1,50.0,16,13,81.25,12,16.43,2.47,17.83,18.23,19.13,11.86,Brentford,Manchester United,1,1
14,2022-08-07,Leicester City - Brentford 2:2,Brentford,4-3-3,2,0.88,8,3,37.5,446,383,85.87,47.45,88,19,37,32,68,31,29,8,139,60,43.17,3,1,33.33,23,6,26.09,2,1,50.0,20,1,5.0,6,0,0.0,2,0,0.0,0,0,0,12,1,8.33,1,4,21,3,8,9,46,19,41.3,2,2,15,5,33.33,31,17,54.84,25,12,48.0,3,2,66.67,30,10,5,0,0,135,96,71.11,77,74,96.1,162,149,91.98,47,29,61.7,50,30,60.0,53,32,60.38,6,3,50.0,13,12,92.31,7,16.54,4.85,10.54,17.66,18.97,18.4,Leicester City,Brentford,0,0
15,2022-05-22,Brentford - Leeds United 1:2,Brentford,4-5-1,1,1.37,14,5,35.71,385,316,82.08,46.98,113,23,50,40,97,48,44,5,203,108,53.2,3,1,33.33,18,8,44.44,3,0,0.0,25,6,24.0,3,3,100.0,4,3,75.0,0,0,0,8,1,12.5,2,4,17,4,5,18,50,18,36.0,0,2,14,6,42.86,50,33,66.0,48,29,60.42,0,0,0.0,48,24,11,3,1,138,97,70.29,56,55,98.21,139,122,87.77,43,19,44.19,44,27,61.36,49,39,79.59,9,3,33.33,19,17,89.47,9,18.47,3.67,11.17,15.02,19.08,11.63,Brentford,Leeds United,1,-1
16,2022-05-15,Everton - Brentford 2:3,Brentford,4-3-3,3,1.77,14,6,42.86,570,498,87.37,68.23,97,24,21,52,71,43,20,8,163,93,57.06,4,1,25.0,33,9,27.27,2,1,50.0,21,3,14.29,2,1,50.0,4,1,25.0,0,0,0,25,11,44.0,12,8,37,7,13,31,52,23,44.23,1,2,9,5,55.56,47,34,72.34,33,20,60.61,3,2,66.67,31,15,8,3,0,167,132,79.04,78,72,92.31,272,257,94.49,49,32,65.31,73,58,79.45,83,62,74.7,7,3,42.86,21,20,95.24,8,17.75,6.06,8.6,15.81,20.94,9.31,Everton,Brentford,0,1
17,2022-05-07,Brentford - Southampton 3:0,Brentford,4-3-3,3,2.84,14,5,35.71,286,211,73.78,38.44,114,23,47,44,86,42,32,12,187,88,47.06,4,1,25.0,23,8,34.78,1,1,100.0,22,4,18.18,4,2,50.0,3,2,66.67,0,0,0,15,3,20.0,3,7,17,5,5,25,62,27,43.55,0,0,16,5,31.25,58,26,44.83,29,16,55.17,1,0,0.0,48,18,12,0,0,133,86,64.66,38,34,89.47,65,49,75.38,55,29,52.73,36,25,69.44,63,38,60.32,0,0,0.0,16,11,68.75,10,16.93,3.01,19.23,15.25,19.54,10.44,Brentford,Southampton,1,1
18,2022-05-02,Manchester United - Brentford 3:0,Brentford,5-3-2,0,0.82,11,3,27.27,363,292,80.44,38.99,86,13,26,47,65,25,26,14,119,56,47.06,5,2,40.0,30,7,23.33,0,0,0.0,21,3,14.29,8,2,25.0,3,1,33.33,0,0,0,28,10,35.71,9,6,33,2,15,22,38,17,44.74,2,3,9,6,66.67,45,26,57.78,22,8,36.36,4,0,0.0,23,5,6,0,0,120,87,72.5,65,58,89.23,110,93,84.55,43,26,60.47,38,28,73.68,53,40,75.47,4,2,50.0,18,15,83.33,6,16.34,4.03,11.85,19.0,18.27,30.41,Manchester United,Brentford,0,-1
19,2022-04-23,Brentford - Tottenham Hotspur 0:0,Brentford,5-3-2,0,2.08,14,2,14.29,377,307,81.43,45.19,111,17,33,61,87,38,32,17,194,92,47.42,5,0,0.0,30,6,20.0,1,0,0.0,24,7,29.17,12,5,41.67,3,2,66.67,0,0,0,19,7,36.84,9,4,22,2,7,29,45,15,33.33,1,0,9,0,0.0,76,47,61.84,46,23,50.0,0,0,0.0,48,14,9,2,0,120,87,72.5,54,50,92.59,149,131,87.92,53,39,73.58,47,34,72.34,75,55,73.33,1,0,0.0,19,19,100.0,9,16.53,3.49,14.06,15.7,22.31,9.5,Brentford,Tottenham Hotspur,1,0
