,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,2022-08-27,11,1,1.59,11,4,36.36,317,240,75.71,49.19,121,20,38,63,81,33,34,14,198,91,45.96,2,1,50.0,27,5,18.52,5,3,60.0,26,3,11.54,5,1,20.0,3,2,66.67,0,0,0,8,3,37.5,4,9,22,5,5,17,74,25,33.78,2,0,9,2,22.22,64,39,60.94,31,14,45.16,1,1,100.0,67,15,10,2,0,124,82,66.13,41,36,87.8,98,79,80.61,51,32,62.75,52,33,63.46,74,50,67.57,8,2,25.0,27,21,77.78,7,13.43,2.96,16.09,15.63,20.27,9.11,1,1
11,11,2022-08-21,15,2,1.24,10,2,20.0,469,397,84.65,50.0,108,24,28,56,88,45,33,10,170,82,48.24,2,0,0.0,33,5,15.15,3,1,33.33,18,3,16.67,4,2,50.0,2,0,0.0,1,1,100,12,3,25.0,2,4,18,5,5,20,49,20,40.82,1,0,13,3,23.08,55,37,67.27,32,10,31.25,1,1,100.0,57,15,7,0,0,162,122,75.31,72,69,95.83,155,139,89.68,44,24,54.55,60,39,65.0,70,50,71.43,5,1,20.0,15,11,73.33,4,17.53,4.94,9.38,18.93,18.84,11.74,0,1
12,12,2022-08-13,11,0,1.1,12,6,50.0,365,289,79.18,51.15,103,13,35,55,95,34,38,23,195,101,51.79,5,1,20.0,35,9,25.71,0,0,0.0,21,3,14.29,7,2,28.57,1,0,0.0,0,0,0,19,5,26.32,5,11,29,2,10,23,47,19,40.43,1,0,4,0,0.0,67,41,61.19,38,16,42.11,3,2,66.67,38,16,8,2,0,143,100,69.93,45,40,88.89,113,93,82.3,52,27,51.92,55,39,70.91,67,48,71.64,2,1,50.0,24,21,87.5,5,16.01,3.29,14.25,18.31,20.46,6.48,1,0
13,13,2022-08-07,17,2,2.14,14,4,28.57,305,233,76.39,37.73,114,32,36,46,92,33,43,16,167,71,42.51,4,0,0.0,26,9,34.62,3,1,33.33,21,4,19.05,2,2,100.0,1,0,0.0,0,0,0,12,7,58.33,7,6,17,1,7,23,57,21,36.84,1,1,14,5,35.71,49,24,48.98,22,11,50.0,1,0,0.0,48,21,12,1,0,129,80,62.02,59,56,94.92,66,58,87.88,36,16,44.44,49,26,53.06,64,45,70.31,3,1,33.33,22,16,72.73,12,16.84,2.9,11.8,15.9,18.44,10.76,0,1
14,14,2022-05-22,9,3,2.28,18,7,38.89,475,412,86.74,50.21,98,21,27,50,92,38,38,16,182,97,53.3,6,1,16.67,36,11,30.56,3,3,100.0,18,4,22.22,5,3,60.0,2,1,50.0,0,0,0,19,5,26.32,5,26,34,2,10,35,55,21,38.18,0,1,7,2,28.57,49,28,57.14,43,30,69.77,7,2,28.57,33,23,9,1,0,158,131,82.91,60,55,91.67,167,145,86.83,45,27,60.0,54,44,81.48,76,59,77.63,7,4,57.14,13,11,84.62,5,17.34,5.05,9.47,15.08,18.22,11.0,1,1
15,15,2022-05-15,11,1,1.93,15,6,40.0,361,292,80.89,48.42,127,30,41,56,104,45,47,12,204,98,48.04,3,2,66.67,25,12,48.0,1,1,100.0,27,2,7.41,1,1,100.0,4,0,0.0,0,0,0,10,4,40.0,5,8,27,6,6,25,70,24,34.29,1,1,16,5,31.25,51,32,62.75,39,19,48.72,3,2,66.67,63,33,8,2,0,134,91,67.91,64,57,89.06,115,102,88.7,33,14,42.42,50,29,58.0,64,46,71.88,5,3,60.0,21,20,95.24,10,16.77,3.03,9.14,14.69,18.84,12.41,0,0
16,16,2022-05-07,9,4,1.78,13,5,38.46,360,284,78.89,46.21,109,12,43,54,87,31,35,21,137,54,39.42,5,2,40.0,31,9,29.03,0,0,0.0,25,4,16.0,7,2,28.57,3,0,0.0,0,0,0,21,4,19.05,4,15,30,4,8,30,44,17,38.64,3,0,14,5,35.71,54,21,38.89,25,9,36.0,3,0,0.0,39,13,12,0,0,122,82,67.21,52,50,96.15,138,117,84.78,38,17,44.74,42,28,66.67,55,39,70.91,2,1,50.0,16,10,62.5,6,17.16,3.56,10.56,17.65,20.75,10.21,1,1
17,17,2022-04-30,12,3,2.94,19,10,52.63,450,385,85.56,54.09,88,13,30,45,85,28,42,15,199,91,45.73,8,5,62.5,36,12,33.33,6,3,50.0,16,2,12.5,3,2,66.67,0,0,0.0,2,1,50,11,5,45.45,3,6,23,9,5,20,73,26,35.62,1,0,10,1,10.0,69,42,60.87,23,9,39.13,4,3,75.0,41,14,4,1,0,133,90,67.67,67,63,94.03,161,148,91.93,46,19,41.3,52,28,53.85,49,37,75.51,4,0,0.0,19,16,84.21,8,16.28,4.46,10.22,17.5,19.0,10.33,0,1
18,18,2022-04-24,13,2,1.56,7,4,57.14,324,237,73.15,52.72,132,26,44,62,102,39,44,19,237,124,52.32,1,0,0.0,26,6,23.08,1,0,0.0,23,1,4.35,6,1,16.67,2,0,0.0,0,0,0,18,10,55.56,10,3,23,3,8,25,50,18,36.0,2,2,16,5,31.25,61,38,62.3,59,31,52.54,5,3,60.0,43,31,12,1,0,128,73,57.03,43,38,88.37,102,91,89.22,36,14,38.89,43,19,44.19,48,31,64.58,4,1,25.0,20,16,80.0,9,15.24,3.24,11.11,12.86,19.32,7.69,1,0
19,19,2022-04-20,7,0,0.12,3,1,33.33,339,269,79.35,38.71,102,25,30,47,89,49,27,13,184,97,52.72,2,0,0.0,16,0,0.0,2,0,0.0,25,1,4.0,4,1,25.0,3,0,0.0,0,0,0,9,2,22.22,2,5,13,1,5,7,50,23,46.0,2,3,17,5,29.41,71,53,74.65,31,12,38.71,3,1,33.33,55,11,7,3,0,112,75,66.96,44,42,95.45,135,114,84.44,42,22,52.38,44,22,50.0,58,37,63.79,6,1,16.67,14,13,92.86,9,14.15,3.42,12.39,22.72,20.32,12.74,0,-1
