,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
10,2019-02-26,4-3-1-2,1,1.76,15,3,20.0,417,350,83.93,55.45,119,20,41,58,87,37,33,17,239,115,48.12,7,0,0.0,38,7,18.42,3,3,100.0,20,5,25.0,3,2,66.67,4,1,25.0,0,0,0,20,4,20.0,4,7,20,1,12,13,71,25,35.21,0,0,6,0,0.0,63,36,57.14,62,33,53.23,14,7,50.0,43,27,10,2,0,143,110,76.92,57,53,92.98,155,137,88.39,46,28,60.87,51,40,78.43,88,68,77.27,0,0,0.0,29,28,96.55,5,14.36,4.01,11.03,17.26,20.25,8.13,1,1
11,2019-02-23,4-3-1-2,0,0.04,3,0,0.0,455,385,84.62,47.35,127,39,49,39,67,42,17,8,212,93,43.87,1,0,0.0,27,1,3.7,1,0,0.0,17,2,11.76,0,0,0.0,4,1,25.0,0,0,0,6,2,33.33,2,2,13,1,5,4,56,22,39.29,0,2,25,10,40.0,49,30,61.22,60,23,38.33,2,0,0.0,63,35,7,0,1,151,104,68.87,75,73,97.33,152,137,90.13,38,23,60.53,53,42,79.25,81,56,69.14,2,0,0.0,30,29,96.67,8,17.1,4.17,8.35,20.48,19.25,18.95,0,1
12,2019-02-09,4-3-1-2,1,0.67,12,5,41.67,472,390,82.63,52.45,132,9,54,69,85,22,45,18,237,100,42.19,7,3,42.86,44,6,13.64,3,1,33.33,24,5,20.83,5,3,60.0,4,0,0.0,0,0,0,22,9,40.91,8,5,24,1,13,14,82,23,28.05,2,2,9,4,44.44,86,48,55.81,31,14,45.16,5,2,40.0,44,5,17,3,0,201,157,78.11,68,59,86.76,114,99,86.84,38,24,63.16,68,59,86.76,95,83,87.37,15,7,46.67,33,31,93.94,7,17.92,4.0,8.05,21.92,18.15,5.89,1,-1
13,2019-02-02,4-1-4-1,0,0.4,5,2,40.0,365,293,80.27,37.75,90,25,34,31,61,38,16,7,226,107,47.35,1,1,100.0,24,3,12.5,5,1,20.0,21,1,4.76,2,1,50.0,1,0,0.0,0,0,0,9,2,22.22,2,2,16,5,6,10,70,27,38.57,1,5,21,8,38.1,93,54,58.06,22,9,40.91,4,2,50.0,54,15,5,0,0,127,87,68.5,67,62,92.54,124,110,88.71,56,29,51.79,35,19,54.29,63,35,55.56,2,0,0.0,16,15,93.75,11,16.11,4.06,15.34,17.31,20.45,21.37,0,1
14,2019-01-29,4-3-3,0,0.95,8,2,25.0,550,455,82.73,59.42,119,11,44,64,105,46,50,9,274,117,42.7,4,1,25.0,45,6,13.33,3,0,0.0,17,1,5.88,3,1,33.33,4,0,0.0,0,0,0,25,14,56.0,13,5,32,1,19,11,90,28,31.11,0,1,9,5,55.56,74,45,60.81,51,22,43.14,5,2,40.0,30,4,13,1,0,195,144,73.85,89,84,94.38,206,178,86.41,73,39,53.42,91,60,65.93,116,95,81.9,9,3,33.33,25,25,100.0,5,16.84,5.14,13.27,18.62,20.82,8.77,1,-1
15,2019-01-20,4-1-4-1,0,0.9,5,2,40.0,329,256,77.81,35.26,100,16,49,35,75,37,31,7,199,101,50.75,2,1,50.0,22,3,13.64,7,1,14.29,21,1,4.76,1,0,0.0,5,1,20.0,0,0,0,12,7,58.33,8,1,12,3,7,8,56,23,41.07,2,3,12,4,33.33,76,51,67.11,36,15,41.67,5,4,80.0,43,13,10,2,0,119,80,67.23,45,39,86.67,88,79,89.77,47,25,53.19,41,24,58.54,64,40,62.5,3,0,0.0,22,18,81.82,9,15.61,3.23,14.29,15.21,17.67,13.39,1,-1
16,2019-01-12,4-3-2-1,0,0.56,11,1,9.09,397,306,77.08,57.9,140,28,47,65,100,52,32,16,258,128,49.61,7,0,0.0,32,6,18.75,6,1,16.67,28,4,14.29,10,1,10.0,2,0,0.0,0,0,0,16,8,50.0,8,4,25,0,9,13,58,24,41.38,2,0,4,0,0.0,58,32,55.17,91,52,57.14,5,3,60.0,49,14,14,1,0,164,113,68.9,55,48,87.27,115,95,82.61,54,31,57.41,62,39,62.9,85,61,71.76,5,1,20.0,24,21,87.5,3,15.32,3.61,13.6,21.79,19.63,5.79,0,0
17,2019-01-02,4-2-3-1,1,0.68,9,2,22.22,326,238,73.01,42.8,117,16,50,51,92,46,31,15,249,124,49.8,3,1,33.33,26,3,11.54,4,2,50.0,20,3,15.0,5,2,40.0,1,0,0.0,0,0,0,19,6,31.58,6,0,20,1,13,10,46,21,45.65,0,2,16,8,50.0,73,48,65.75,69,31,44.93,4,2,50.0,44,18,11,1,1,158,102,64.56,44,39,88.64,77,63,81.82,63,38,60.32,43,22,51.16,82,57,69.51,3,0,0.0,27,22,81.48,8,15.72,2.81,19.33,17.08,21.11,10.62,1,-1
18,2018-12-29,3-5-1-1,0,0.66,8,4,50.0,498,417,83.73,59.04,120,25,42,53,84,44,26,14,235,111,47.23,5,2,40.0,31,5,16.13,3,2,66.67,24,1,4.17,3,0,0.0,4,0,0.0,0,0,0,13,4,30.77,4,5,17,0,8,8,53,19,35.85,2,1,10,6,60.0,62,41,66.13,65,27,41.54,2,2,100.0,63,29,10,1,0,172,123,71.51,86,81,94.19,159,143,89.94,69,36,52.17,50,27,54.0,72,51,70.83,2,0,0.0,27,23,85.19,7,16.45,4.41,13.86,20.34,20.18,11.1,0,1
19,2018-12-26,4-2-3-1,1,1.27,10,2,20.0,336,257,76.49,36.25,91,17,33,41,71,38,22,11,252,135,53.57,4,0,0.0,27,5,18.52,5,2,40.0,16,3,18.75,3,1,33.33,3,1,33.33,0,0,0,13,4,30.77,4,5,18,2,8,14,63,29,46.03,4,3,17,11,64.71,109,76,69.72,33,14,42.42,10,8,80.0,68,20,13,1,0,134,95,70.9,36,30,83.33,103,81,78.64,54,34,62.96,49,33,67.35,77,53,68.83,5,2,40.0,20,17,85.0,3,17.69,3.14,16.07,17.9,20.35,11.13,0,1
