,Unnamed: 0.2,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,2022-08-31,11,1,0.92,10,3,30.0,604,544,90.07,59.07,73,13,27,33,74,41,25,8,198,90,45.45,4,3,75.0,23,5,21.74,2,1,50.0,25,4,16.0,4,1,25.0,0,0,0.0,0,0,0,13,6,46.15,5,10,30,6,9,19,67,27,40.3,0,1,10,4,40.0,43,29,67.44,38,17,44.74,1,0,0.0,34,15,10,5,0,176,145,82.39,92,91,98.91,248,233,93.95,50,34,68.0,45,35,77.78,80,60,75.0,7,4,57.14,19,18,94.74,11,17.26,6.71,8.28,18.86,19.01,11.85,0,0
11,11,2022-08-28,11,2,3.19,16,7,43.75,437,378,86.5,47.21,111,37,45,29,96,62,24,10,217,101,46.54,5,1,20.0,22,10,45.45,6,4,66.67,20,1,5.0,1,0,0.0,0,0,0.0,1,0,0,9,5,55.56,4,11,20,8,3,23,73,29,39.73,3,0,17,4,23.53,62,31,50.0,42,22,52.38,6,3,50.0,46,23,13,1,0,133,110,82.71,62,57,91.94,165,145,87.88,36,26,72.22,38,23,60.53,71,48,67.61,6,4,66.67,19,17,89.47,10,17.45,4.01,8.24,15.79,18.59,10.81,0,1
12,12,2022-08-20,12,1,1.64,10,4,40.0,469,408,86.99,50.35,89,16,35,38,83,35,32,16,188,81,43.09,1,1,100.0,29,7,24.14,4,1,25.0,24,2,8.33,8,1,12.5,1,0,0.0,0,0,0,19,6,31.58,6,8,30,11,9,26,62,25,40.32,2,0,20,3,15.0,60,28,46.67,21,7,33.33,6,2,33.33,46,14,10,2,0,156,118,75.64,73,71,97.26,186,178,95.7,43,23,53.49,47,35,74.47,77,62,80.52,0,0,0.0,14,14,100.0,9,17.05,4.79,9.17,12.51,22.17,10.12,1,1
13,13,2022-08-14,11,2,1.26,8,5,62.5,298,246,82.55,38.27,110,45,43,22,82,43,33,6,239,112,46.86,3,1,33.33,14,2,14.29,0,0,0.0,27,6,22.22,5,2,40.0,2,1,50.0,0,0,0,6,1,16.67,1,3,10,3,2,8,69,20,28.99,1,2,16,3,18.75,94,61,64.89,41,20,48.78,2,1,50.0,51,31,9,0,0,111,83,74.77,41,36,87.8,103,94,91.26,31,21,67.74,24,16,66.67,48,23,47.92,2,1,50.0,18,18,100.0,11,16.47,3.17,10.4,13.45,17.63,12.78,0,0
14,14,2022-08-06,11,4,1.77,15,7,46.67,537,465,86.59,55.45,109,32,26,51,83,43,27,13,218,124,56.88,3,1,33.33,32,9,28.13,3,2,66.67,22,4,18.18,10,2,20.0,0,0,0.0,0,0,0,22,9,40.91,8,12,39,6,14,28,60,22,36.67,2,1,9,2,22.22,78,57,73.08,35,22,62.86,9,6,66.67,36,29,11,3,0,160,129,80.63,80,78,97.5,203,182,89.66,37,23,62.16,64,47,73.44,80,64,80.0,14,6,42.86,20,19,95.0,6,17.75,5.37,6.89,15.24,18.84,7.89,1,1
15,15,2022-05-22,12,5,2.77,17,13,76.47,565,510,90.27,55.87,79,16,29,34,76,32,27,17,128,61,47.66,4,2,50.0,27,11,40.74,0,0,0.0,22,6,27.27,2,1,50.0,1,1,100.0,0,0,0,5,3,60.0,3,13,24,3,2,30,51,24,47.06,2,0,8,0,0.0,35,18,51.43,23,14,60.87,3,1,33.33,40,9,8,1,0,174,137,78.74,82,81,98.78,229,219,95.63,42,21,50.0,67,55,82.09,88,73,82.95,5,2,40.0,16,15,93.75,8,19.29,6.01,7.43,15.42,18.37,10.22,0,1
16,16,2022-05-15,12,1,2.51,19,8,42.11,638,558,87.46,68.25,89,9,32,48,79,32,31,16,196,104,53.06,9,2,22.22,38,13,34.21,1,1,100.0,24,4,16.67,8,3,37.5,1,0,0.0,1,1,100,33,10,30.3,11,11,40,7,16,31,65,30,46.15,2,0,9,1,11.11,43,30,69.77,52,29,55.77,2,1,50.0,20,18,12,3,0,171,133,77.78,81,75,92.59,280,258,92.14,46,23,50.0,74,61,82.43,77,58,75.32,4,0,0.0,20,20,100.0,7,17.66,6.38,7.21,18.95,20.19,11.41,1,1
17,17,2022-05-12,1,3,3.18,14,5,35.71,525,474,90.29,55.56,75,12,17,46,64,27,25,12,122,69,56.56,3,1,33.33,27,10,37.04,0,0,0.0,21,2,9.52,2,1,50.0,2,0,0.0,1,1,100,13,5,38.46,6,7,24,4,8,20,39,21,53.85,1,0,8,5,62.5,52,29,55.77,19,13,68.42,4,1,25.0,31,13,8,1,0,143,112,78.32,79,77,97.47,230,219,95.22,23,7,30.43,61,45,73.77,61,47,77.05,6,3,50.0,8,8,100.0,5,18.51,6.56,4.38,15.3,18.43,13.37,1,1
18,18,2022-05-07,12,1,1.42,8,3,37.5,318,243,76.42,39.15,141,64,51,26,85,57,20,8,198,104,52.53,3,2,66.67,15,2,13.33,4,4,100.0,28,2,7.14,5,0,0.0,0,0,0.0,0,0,0,13,6,46.15,5,5,19,3,9,14,71,34,47.89,0,1,22,3,13.64,78,48,61.54,28,12,42.86,5,1,20.0,84,43,8,2,0,125,80,64.0,47,43,91.49,94,81,86.17,61,31,50.82,25,16,64.0,76,34,44.74,2,0,0.0,20,16,80.0,13,15.2,2.79,19.18,17.31,18.99,19.44,0,0
19,19,2022-05-01,11,3,1.49,11,7,63.64,400,322,80.5,40.29,98,21,42,35,78,31,33,14,197,99,50.25,3,1,33.33,21,4,19.05,3,2,66.67,18,5,27.78,6,2,33.33,1,1,100.0,0,0,0,13,3,23.08,3,8,22,6,7,20,71,25,35.21,2,1,6,2,33.33,79,48,60.76,27,18,66.67,5,3,60.0,63,11,13,2,0,132,91,68.94,50,49,98.0,145,129,88.97,52,31,59.62,36,25,69.44,72,42,58.33,3,3,100.0,16,16,100.0,6,17.93,4.21,13.0,14.8,19.93,13.88,1,1
20,20,2022-04-23,12,0,1.18,9,0,0.0,497,423,85.11,54.81,120,36,34,50,86,38,35,13,194,98,50.52,2,0,0.0,30,7,23.33,0,0,0.0,22,2,9.09,8,1,12.5,1,0,0.0,0,0,0,23,8,34.78,6,9,31,4,11,27,76,29,38.16,1,0,14,2,14.29,45,30,66.67,46,23,50.0,0,0,0.0,60,33,7,1,0,153,119,77.78,65,63,96.92,207,182,87.92,43,20,46.51,71,62,87.32,84,60,71.43,7,0,0.0,18,16,88.89,6,17.97,4.87,8.65,17.02,18.12,15.17,0,0
21,21,2022-04-16,1,0,0.52,6,1,16.67,438,366,83.56,45.82,101,19,37,45,74,40,27,7,173,87,50.29,2,0,0.0,17,5,29.41,1,1,100.0,25,0,0.0,4,0,0.0,0,0,0.0,0,0,0,9,1,11.11,1,4,15,5,2,12,60,25,41.67,0,1,10,4,40.0,63,36,57.14,35,21,60.0,2,1,50.0,36,8,15,3,0,147,102,69.39,55,54,98.18,198,188,94.95,48,22,45.83,46,24,52.17,60,39,65.0,2,2,100.0,23,22,95.65,8,17.24,4.47,10.96,19.62,22.18,10.84,1,-1
