,Home Team,Away Team,Date
1372,Manchester United,Newcastle United,2018-10-06
1373,West Ham United,Manchester United,2018-09-29
1374,Manchester United,Wolverhampton Wanderers,2018-09-22
1375,Watford,Manchester United,2018-09-15
1376,Manchester United,Tottenham Hotspur,2018-08-27
1377,Southampton,Newcastle United,2022-11-06
1378,Tottenham Hotspur,Newcastle United,2022-10-23
1379,Wolverhampton Wanderers,Newcastle United,2022-08-28
1380,Newcastle United,Nottingham Forest,2022-08-06
1381,Norwich City,Newcastle United,2022-04-23
1382,Newcastle United,Wolverhampton Wanderers,2022-04-08
1383,Tottenham Hotspur,Newcastle United,2022-04-03
1384,Southampton,Newcastle United,2022-03-10
1385,West Ham United,Newcastle United,2022-02-19
1386,Newcastle United,Watford,2022-01-15
1387,Newcastle United,Norwich City,2021-11-30
1388,Newcastle United,Tottenham Hotspur,2021-10-17
1389,Wolverhampton Wanderers,Newcastle United,2021-10-02
1390,Watford,Newcastle United,2021-09-25
1391,Newcastle United,Southampton,2021-08-28
1392,Newcastle United,West Ham United,2021-08-15
1393,Newcastle United,Sheffield United,2021-05-19
1394,Newcastle United,West Ham United,2021-04-17
1395,Newcastle United,Tottenham Hotspur,2021-04-04
1396,West Bromwich Albion,Newcastle United,2021-03-07
1397,Newcastle United,Wolverhampton Wanderers,2021-02-27
1398,Newcastle United,Southampton,2021-02-06
1399,Sheffield United,Newcastle United,2021-01-12
1400,Newcastle United,West Bromwich Albion,2020-12-12
1401,Southampton,Newcastle United,2020-11-06
1402,Tottenham Hotspur,Newcastle United,2020-09-27
1403,West Ham United,Newcastle United,2020-09-12
1404,Newcastle United,Tottenham Hotspur,2020-07-15
1405,Watford,Newcastle United,2020-07-11
1406,Newcastle United,West Ham United,2020-07-05
1407,Newcastle United,Sheffield United,2020-06-21
1408,Southampton,Newcastle United,2020-03-07
1409,Newcastle United,Norwich City,2020-02-01
1410,Newcastle United,Southampton,2019-12-08
1411,Sheffield United,Newcastle United,2019-12-05
1412,West Ham United,Newcastle United,2019-11-02
1413,Tottenham Hotspur,Newcastle United,2019-08-25
1414,Norwich City,Newcastle United,2019-08-17
1415,Newcastle United,Southampton,2019-04-20
1416,West Ham United,Newcastle United,2019-03-02
1417,Tottenham Hotspur,Newcastle United,2019-02-02
1418,Newcastle United,Wolverhampton Wanderers,2018-12-09
1419,Newcastle United,West Ham United,2018-12-01
1420,Newcastle United,Watford,2018-11-03
1421,Southampton,Newcastle United,2018-10-27
1422,Newcastle United,Tottenham Hotspur,2018-08-11
1423,Norwich City,Tottenham Hotspur,2022-05-22
1424,Wolverhampton Wanderers,Norwich City,2022-05-15
1425,Norwich City,West Ham United,2022-05-08
1426,Southampton,Norwich City,2022-02-25
1427,Watford,Norwich City,2022-01-21
1428,West Ham United,Norwich City,2022-01-12
1429,Tottenham Hotspur,Norwich City,2021-12-05
1430,Norwich City,Wolverhampton Wanderers,2021-11-27
1431,Norwich City,Southampton,2021-11-20
1432,Norwich City,Watford,2021-09-18
1433,Watford,Norwich City,2020-07-07
1434,Norwich City,Southampton,2020-06-19
1435,Sheffield United,Norwich City,2020-03-07
1436,Wolverhampton Wanderers,Norwich City,2020-02-23
1437,Tottenham Hotspur,Norwich City,2020-01-22
1438,Norwich City,Tottenham Hotspur,2019-12-28
1439,Norwich City,Wolverhampton Wanderers,2019-12-21
1440,Norwich City,Sheffield United,2019-12-08
1441,Southampton,Norwich City,2019-12-04
1442,Norwich City,Watford,2019-11-08
1443,Wolverhampton Wanderers,Nottingham Forest,2022-10-15
1444,Nottingham Forest,Tottenham Hotspur,2022-08-28
1445,Nottingham Forest,West Ham United,2022-08-14
1446,Tottenham Hotspur,Sheffield United,2021-05-02
1447,Wolverhampton Wanderers,Sheffield United,2021-04-17
1448,Sheffield United,Southampton,2021-03-06
1449,West Ham United,Sheffield United,2021-02-15
1450,Sheffield United,West Bromwich Albion,2021-02-02
1451,Sheffield United,Tottenham Hotspur,2021-01-17
1452,Southampton,Sheffield United,2020-12-13
1453,West Bromwich Albion,Sheffield United,2020-11-28
1454,Sheffield United,West Ham United,2020-11-22
1455,Sheffield United,Wolverhampton Wanderers,2020-09-14
1456,Southampton,Sheffield United,2020-07-26
1457,Sheffield United,Wolverhampton Wanderers,2020-07-08
1458,Sheffield United,Tottenham Hotspur,2020-07-02
1459,Sheffield United,West Ham United,2020-01-10
1460,Sheffield United,Watford,2019-12-26
1461,Wolverhampton Wanderers,Sheffield United,2019-12-01
1462,Tottenham Hotspur,Sheffield United,2019-11-09
1463,West Ham United,Sheffield United,2019-10-26
1464,Watford,Sheffield United,2019-10-05
1465,Sheffield United,Southampton,2019-09-14
1466,Southampton,West Ham United,2022-10-16
1467,Wolverhampton Wanderers,Southampton,2022-09-03
1468,Tottenham Hotspur,Southampton,2022-08-06
1469,Southampton,Watford,2022-03-13
1470,Tottenham Hotspur,Southampton,2022-02-09
1471,Wolverhampton Wanderers,Southampton,2022-01-15
1472,Southampton,Tottenham Hotspur,2021-12-28
1473,West Ham United,Southampton,2021-12-26
1474,Watford,Southampton,2021-10-30
1475,Southampton,Wolverhampton Wanderers,2021-09-26
1476,Southampton,West Ham United,2021-09-11
1477,West Ham United,Southampton,2021-05-23
1478,Tottenham Hotspur,Southampton,2021-04-21
1479,West Bromwich Albion,Southampton,2021-04-12
1480,Southampton,Wolverhampton Wanderers,2021-02-14
1481,Wolverhampton Wanderers,Southampton,2020-11-23
1482,Southampton,West Bromwich Albion,2020-10-04
1483,Southampton,Tottenham Hotspur,2020-09-20
1484,Watford,Southampton,2020-06-28
1485,West Ham United,Southampton,2020-02-29
1486,Southampton,Wolverhampton Wanderers,2020-01-18
1487,Southampton,Tottenham Hotspur,2020-01-01
1488,Southampton,West Ham United,2019-12-14
1489,Southampton,Watford,2019-11-30
1490,Watford,Southampton,2019-04-23
1491,Southampton,Wolverhampton Wanderers,2019-04-13
1492,Southampton,Tottenham Hotspur,2019-03-09
1493,Southampton,West Ham United,2018-12-27
1494,Tottenham Hotspur,Southampton,2018-12-05
1495,Southampton,Watford,2018-11-10
1496,Wolverhampton Wanderers,Southampton,2018-09-29
1497,West Ham United,Tottenham Hotspur,2022-08-31
1498,Tottenham Hotspur,Wolverhampton Wanderers,2022-08-20
1499,Tottenham Hotspur,West Ham United,2022-03-20
1500,Tottenham Hotspur,Wolverhampton Wanderers,2022-02-13
1501,Watford,Tottenham Hotspur,2022-01-01
1502,West Ham United,Tottenham Hotspur,2021-10-24
1503,Tottenham Hotspur,Watford,2021-08-29
1504,Wolverhampton Wanderers,Tottenham Hotspur,2021-08-22
1505,Tottenham Hotspur,Wolverhampton Wanderers,2021-05-16
1506,West Ham United,Tottenham Hotspur,2021-02-21
1507,Tottenham Hotspur,West Bromwich Albion,2021-02-07
1508,Wolverhampton Wanderers,Tottenham Hotspur,2020-12-27
1509,West Bromwich Albion,Tottenham Hotspur,2020-11-08
1510,Tottenham Hotspur,West Ham United,2020-10-18
1511,Tottenham Hotspur,West Ham United,2020-06-23
1512,Tottenham Hotspur,Wolverhampton Wanderers,2020-03-01
1513,Watford,Tottenham Hotspur,2020-01-18
1514,Wolverhampton Wanderers,Tottenham Hotspur,2019-12-15
1515,West Ham United,Tottenham Hotspur,2019-11-23
1516,Tottenham Hotspur,Watford,2019-10-19
1517,Tottenham Hotspur,West Ham United,2019-04-27
1518,Tottenham Hotspur,Watford,2019-01-30
1519,Tottenham Hotspur,Wolverhampton Wanderers,2018-12-29
1520,Wolverhampton Wanderers,Tottenham Hotspur,2018-11-03
1521,West Ham United,Tottenham Hotspur,2018-10-20
1522,Watford,Tottenham Hotspur,2018-09-02
1523,Wolverhampton Wanderers,Watford,2022-03-10
1524,West Ham United,Watford,2022-02-08
1525,Watford,West Ham United,2021-12-28
1526,Watford,Wolverhampton Wanderers,2021-09-11
1527,West Ham United,Watford,2020-07-17
1528,Watford,Wolverhampton Wanderers,2020-01-01
1529,Wolverhampton Wanderers,Watford,2019-09-28
1530,Watford,West Ham United,2019-08-24
1531,Watford,Wolverhampton Wanderers,2019-04-27
1532,West Ham United,Watford,2018-12-22
1533,Wolverhampton Wanderers,Watford,2018-10-20
1534,West Bromwich Albion,West Ham United,2021-05-19
1535,West Bromwich Albion,Wolverhampton Wanderers,2021-05-03
1536,West Ham United,West Bromwich Albion,2021-01-19
1537,Wolverhampton Wanderers,West Bromwich Albion,2021-01-16
1538,West Ham United,Wolverhampton Wanderers,2022-10-01
1539,West Ham United,Wolverhampton Wanderers,2022-02-27
1540,Wolverhampton Wanderers,West Ham United,2021-11-20
1541,Wolverhampton Wanderers,West Ham United,2021-04-05
1542,West Ham United,Wolverhampton Wanderers,2020-09-27
1543,West Ham United,Wolverhampton Wanderers,2020-06-20
1544,Wolverhampton Wanderers,West Ham United,2019-12-04
1545,Wolverhampton Wanderers,West Ham United,2019-01-29
1546,West Ham United,Wolverhampton Wanderers,2018-09-01
