,Win
1398,-1
1400,1
1404,1
1406,1
1408,-1
1410,-1
1412,-1
1414,1
1416,1
1418,-1
1420,1
1422,1
1426,1
1432,0
1436,1
1440,1
1442,-1
1444,0
1446,1
1450,1
1452,-1
1454,1
1456,-1
1458,1
1460,1
1464,0
1466,0
1468,0
1470,1
1472,-1
1474,1
1476,-1
1484,-1
1486,1
1490,0
1492,1
1498,0
1500,-1
1504,1
1508,1
1510,-1
1512,0
1514,-1
1516,-1
1518,1
1520,-1
1526,1
1528,-1
1530,1
1532,1
1534,-1
1536,-1
1538,-1
1544,1
1546,0
1548,-1
1550,-1
1552,0
1554,-1
1556,1
1558,1
1560,1
1562,1
1564,1
1568,-1
1570,1
1572,1
1574,1
1578,-1
1580,1
1584,0
1586,0
1590,1
1596,0
1602,1
1604,-1
1606,1
1608,1
1610,1
1612,1
1614,0
1616,-1
1618,1
1620,0
1622,-1
1624,0
1626,1
1628,0
1630,1
1634,-1
1638,1
1640,-1
1644,-1
1646,1
1650,1
1652,0
1658,0
1660,0
1662,1
1664,1
1666,-1
1670,-1
1674,-1
1676,1
1680,1
1682,-1
1684,-1
1688,0
1692,1
1700,-1
1702,1
1704,-1
1708,-1
1710,-1
1712,0
1714,1
1716,-1
1718,0
1720,0
1722,1
1724,-1
1726,-1
1730,0
1732,1
1734,-1
1736,-1
1742,1
1744,1
1748,1
1750,0
1752,-1
1754,1
1758,0
1760,0
1762,1
1764,0
1766,-1
1770,1
1772,1
1774,1
1776,1
1778,-1
1780,1
1784,1
1788,1
1792,1
1794,-1
1796,0
1808,-1
1810,-1
1814,1
1818,-1
1820,1
1822,1
1830,-1
1834,-1
1836,-1
1838,0
1840,-1
1844,1
1846,0
1854,1
1856,1
1862,1
1864,0
1866,-1
1870,1
1872,1
1878,1
1880,0
1886,-1
1890,1
1896,1
1898,0
1900,1
1904,0
1906,-1
1908,0
1910,0
1916,-1
1920,-1
1922,1
1924,-1
1926,1
1928,1
1930,1
1932,0
1934,1
1938,0
1942,1
1946,0
1950,1
1952,1
1956,1
1958,-1
1960,0
1962,1
1964,1
1968,0
1970,-1
1974,-1
1980,0
1982,-1
1986,-1
1988,1
1990,1
1992,0
1994,1
1996,1
1998,1
2004,1
2006,-1
2008,0
2012,0
2016,1
2018,1
2020,0
2026,1
2032,1
2034,-1
2036,-1
2042,0
2044,1
2046,1
2048,0
2050,0
2056,1
2058,-1
2060,1
2064,1
2068,1
2070,0
2074,-1
2076,0
2078,0
2080,-1
2082,-1
2086,1
2088,1
2090,-1
2096,-1
2098,-1
2106,-1
2112,1
2116,1
2124,1
2126,1
2128,-1
2130,-1
2132,0
2138,0
2140,1
2146,0
2152,-1
2156,-1
2164,1
2166,0
2168,1
2172,-1
2174,1
2176,0
2186,-1
2188,-1
2190,1
2192,1
2198,-1
2200,-1
2202,0
2204,1
2208,1
2210,-1
2218,-1
2220,1
2222,1
2228,0
2230,-1
2236,1
2238,-1
2242,0
2244,-1
2248,1
2250,-1
2252,-1
2256,-1
2258,0
2262,1
2264,1
2266,-1
2268,-1
2270,1
2272,0
2274,0
2278,0
2290,0
2292,-1
2296,1
2298,0
2300,1
2304,1
2306,1
2308,-1
2310,1
2312,-1
2314,1
2316,1
2318,1
2322,1
2332,-1
2336,1
2338,0
2340,1
2342,-1
2344,-1
2346,0
2348,1
2356,0
2358,1
2360,1
2362,1
2364,-1
2368,-1
2374,0
2384,-1
2386,1
2388,-1
2390,-1
2392,-1
2394,0
2396,-1
2398,-1
2402,-1
2406,-1
2410,-1
2416,-1
2418,-1
2420,-1
2422,1
2426,0
2432,1
2434,-1
2442,1
2444,0
2446,1
2448,1
2450,-1
2456,0
2462,-1
2464,0
2466,0
2470,1
2472,-1
2482,1
2484,1
2486,-1
2490,0
2494,1
2500,-1
2504,1
2508,1
2512,0
2518,1
2520,1
2524,-1
2528,1
2534,1
2536,-1
2538,-1
2540,-1
2542,1
2546,-1
2552,-1
2554,1
2556,0
2558,0
2560,1
2568,1
2574,1
2578,-1
2580,0
2584,1
2586,0
2588,-1
2590,1
2594,-1
2600,1
2602,-1
2604,-1
2606,1
2614,0
2616,0
2618,-1
2620,0
2622,1
2630,-1
2634,-1
2636,-1
2638,-1
2640,-1
2644,1
2650,0
2652,-1
2654,0
2662,0
2664,0
2666,0
2670,0
2672,1
2674,-1
2678,1
2680,1
2684,0
2686,1
2690,1
2694,-1
2704,1
2706,-1
2708,-1
2710,1
2714,1
2718,-1
2724,-1
2730,1
2732,0
2734,0
2736,-1
2738,1
2740,0
2744,1
2746,1
2748,1
2758,0
2760,1
2766,1
2770,0
2772,0
2774,1
2776,-1
2778,1
2780,-1
2784,1
2790,1
2792,1
2800,-1
2808,1
2810,-1
2812,-1
2820,-1
2822,0
2826,1
2828,-1
2832,-1
2834,1
2842,1
2846,1
2850,-1
2854,1
2870,0
2872,1
2882,-1
2886,-1
2888,0
2890,-1
2892,1
2896,1
2898,-1
2900,1
2902,-1
2908,-1
2910,-1
2916,1
2926,1
2928,0
2930,-1
2932,0
2934,1
2936,1
2938,-1
2940,0
2942,-1
2948,1
2950,1
2952,-1
2956,1
2960,0
2962,0
2964,-1
2966,1
2972,1
2976,1
2978,1
2986,-1
2988,-1
2992,1
2994,-1
2998,1
3000,1
3012,-1
3016,-1
3018,0
3020,-1
3024,1
3026,-1
3030,-1
3032,-1
3040,1
3042,1
3046,-1
3050,-1
3056,1
3060,-1
3062,1
3066,1
3072,1
3076,0
3086,1
3088,0
3090,1
3094,-1
3096,1
3098,1
3100,1
3104,0
3106,1
3116,1
3126,-1
3128,1
3130,1
3132,-1
3136,-1
3138,-1
3140,0
3144,1
3146,1
3148,-1
3150,1
3160,1
3162,0
3172,1
3174,-1
3178,0
3180,-1
3186,-1
3190,1
3200,-1
3202,-1
3206,-1
3208,-1
3210,1
3212,1
3224,0
3228,1
3236,1
3242,-1
3244,-1
3246,-1
3248,1
3250,0
3254,1
3264,-1
3268,1
3270,1
3272,1
3274,1
3282,0
3286,1
3290,0
3292,-1
3302,1
3312,0
3314,1
3322,1
3328,-1
3340,0
3346,-1
3352,-1
3354,-1
3356,1
3358,1
3360,1
3362,-1
3366,1
3368,1
3370,1
3378,1
3382,1
3388,1
3390,-1
3394,0
3396,-1
3400,1
3402,0
3404,1
3414,1
3428,0
3430,1
3434,-1
3438,1
3442,1
3446,-1
3448,-1
3450,0
3462,-1
3468,-1
3470,-1
3472,1
3474,0
3488,-1
3494,-1
3498,-1
3500,-1
3504,0
3506,1
3508,0
3510,0
3514,1
3518,1
3524,0
3526,1
3528,1
3540,-1
3552,1
3560,1
3562,1
3564,-1
3568,-1
3570,-1
3572,1
3574,-1
3576,1
3578,1
3592,1
3598,0
3602,-1
3614,1
3616,1
3618,-1
3626,-1
3636,1
3638,0
3642,0
3650,1
3654,1
3656,-1
3658,1
3666,-1
3676,0
3680,1
3690,1
3702,1
3704,1
3706,-1
3710,1
3714,0
3718,-1
3722,0
3724,-1
3726,1
3730,1
3740,1
3744,-1
3746,-1
3750,0
3760,-1
3764,1
3766,-1
3770,1
3774,-1
3786,0
3792,1
3794,1
3800,-1
3814,1
3816,-1
3818,1
3826,1
3832,1
3834,-1
3844,1
3846,-1
3848,0
3850,0
3856,1
3860,-1
3862,0
3870,-1
3874,-1
3882,1
3892,1
3896,1
3908,1
3910,1
3916,-1
3920,0
3926,1
3932,-1
3936,1
3938,1
3944,0
3946,-1
3956,1
3964,1
3968,1
3976,1
3980,1
3984,-1
3994,-1
3998,-1
4000,1
4002,1
4004,-1
4016,1
4018,0
4028,1
4032,1
4034,0
4044,-1
4064,1
4070,1
4074,0
4080,0
4090,-1
4094,0
4096,-1
4104,1
4108,-1
4118,-1
4120,1
4122,-1
4124,0
4128,-1
4142,-1
4154,1
4156,0
4160,1
4164,-1
4174,1
4180,-1
4184,-1
4186,-1
4188,1
4196,-1
4198,-1
4206,0
4210,0
4218,1
4220,0
4226,1
4230,0
4236,1
4244,1
4250,1
4254,0
4260,-1
4264,1
4268,1
4276,0
4290,1
4292,1
4294,1
4298,1
4312,-1
4314,-1
4328,0
4340,1
4342,1
4344,0
4346,-1
4350,-1
4358,-1
4362,-1
4378,0
4384,1
4394,-1
4400,1
4402,1
4408,-1
4414,0
4422,0
4434,0
4446,-1
4448,1
4450,0
4456,0
4460,-1
4464,1
4474,1
4478,0
4484,0
4486,0
4492,1
4504,1
4516,1
4522,1
4532,0
4536,-1
4542,-1
4544,1
4548,0
4554,1
4556,-1
4564,0
4582,1
4584,-1
4592,-1
4608,-1
4610,1
4620,1
4632,1
4640,1
4658,-1
4662,-1
4668,1
4670,0
4688,-1
4690,-1
4692,0
4696,-1
4714,1
4722,-1
4726,1
4736,1
4740,0
4742,1
4756,-1
4774,1
4782,-1
4784,1
4788,1
4794,1
4802,0
4806,-1
4810,-1
4812,1
4818,-1
4852,1
4864,-1
4868,1
4880,1
4884,1
4892,-1
4900,1
4904,1
4910,-1
4924,1
4928,1
4930,-1
4946,-1
4948,1
4956,1
4960,1
4980,1
4986,0
4996,0
5000,0
5004,0
5008,0
5014,-1
5034,0
5042,1
5052,1
5072,-1
5084,-1
5088,1
5092,0
5094,-1
5110,-1
5118,-1
5122,0
5130,1
5142,1
5144,1
5160,-1
5188,0
5198,1
5202,-1
5218,-1
5226,1
5236,-1
5240,1
5248,-1
5254,1
5288,0
5292,1
5298,1
5320,-1
5328,1
5334,0
5344,1
5378,0
5382,1
5406,1
5420,-1
5428,-1
5446,1
5458,1
5460,-1
5468,1
5492,1
5496,1
5510,0
5524,-1
5530,0
5554,1
5560,-1
5570,0
5582,-1
5590,-1
5598,0
5620,-1
5644,1
5652,-1
5670,-1
5674,-1
5684,1
5712,1
5724,1
5734,-1
5760,-1
5772,1
5802,1
5830,1
5838,-1
5848,-1
5884,-1
5902,-1
