,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
10,2022-08-27,4-3-3,9,4.78,20,14,70.0,656,574,87.5,64.66,106,3,38,65,92,29,49,14,177,87,49.15,4,4,100.0,46,12,26.09,1,1,100.0,16,7,43.75,8,5,62.5,0,0,0.0,0,0,0,23,12,52.17,10,14,42,5,13,38,63,27,42.86,3,0,5,2,40.0,49,29,59.18,41,21,51.22,2,0,0.0,28,12,6,0,0,180,142,78.89,86,83,96.51,271,249,91.88,49,23,46.94,88,69,78.41,87,78,89.66,9,5,55.56,20,20,100.0,3,18.78,7.05,7.47,12.02,18.45,7.79,1,1
11,2022-08-22,4-3-3,1,2.28,17,5,29.41,607,526,86.66,70.84,108,13,37,58,94,37,37,20,214,95,44.39,3,0,0.0,47,10,21.28,0,0,0.0,25,7,28.0,8,6,75.0,4,0,0.0,0,0,0,18,6,33.33,7,19,38,10,11,35,68,27,39.71,2,2,12,5,41.67,55,31,56.36,40,18,45.0,2,2,100.0,30,9,7,1,0,183,135,73.77,77,76,98.7,264,245,92.8,49,30,61.22,72,53,73.61,94,78,82.98,12,4,33.33,28,24,85.71,4,18.46,5.1,8.07,15.08,19.77,8.76,0,1
12,2022-08-15,4-3-3,1,2.07,21,3,14.29,751,660,87.88,71.12,109,8,32,69,114,36,52,26,230,102,44.35,8,1,12.5,56,15,26.79,0,0,0.0,18,6,33.33,4,1,25.0,3,1,33.33,0,0,0,28,11,39.29,8,28,54,5,20,32,75,18,24.0,2,1,7,3,42.86,72,49,68.06,33,16,48.48,4,3,75.0,31,2,8,2,1,214,173,80.84,124,118,95.16,299,267,89.3,75,52,69.33,111,87,78.38,112,95,84.82,11,9,81.82,27,27,100.0,5,18.25,6.42,9.99,17.09,19.88,5.05,1,0
13,2022-08-06,4-3-3,2,1.58,11,4,36.36,584,476,81.51,64.29,145,23,58,64,121,55,45,21,212,96,45.28,2,0,0.0,33,9,27.27,1,0,0.0,20,2,10.0,4,2,50.0,1,0,0.0,0,0,0,19,6,31.58,6,14,39,4,9,34,65,19,29.23,4,2,8,3,37.5,56,38,67.86,38,17,44.74,0,0,0.0,41,19,9,0,0,200,142,71.0,73,70,95.89,236,207,87.71,69,36,52.17,78,50,64.1,83,64,77.11,4,1,25.0,35,30,85.71,5,18.42,4.75,11.82,14.12,20.14,7.04,0,0
14,2022-05-22,4-3-3,3,2.68,26,7,26.92,674,587,87.09,61.43,99,4,29,66,83,28,34,21,140,68,48.57,8,1,12.5,49,22,44.9,4,1,25.0,13,3,23.08,5,2,40.0,0,0,0.0,0,0,0,28,7,25.0,8,23,56,10,18,43,51,16,31.37,3,1,7,5,71.43,49,31,63.27,11,7,63.64,3,2,66.67,25,4,6,1,0,203,167,82.27,78,73,93.59,281,251,89.32,43,22,51.16,75,61,81.33,97,84,86.6,11,5,45.45,25,23,92.0,4,18.79,6.81,6.38,17.6,18.49,14.96,1,1
15,2022-05-17,4-3-3,2,1.69,24,5,20.83,734,658,89.65,68.4,96,7,27,62,93,36,33,24,177,89,50.28,12,3,25.0,55,19,34.55,1,0,0.0,16,5,31.25,9,4,44.44,1,0,0.0,0,0,0,30,9,30.0,10,20,52,8,21,28,65,29,44.62,2,1,3,2,66.67,43,31,72.09,40,18,45.0,1,0,0.0,32,12,6,0,0,212,187,88.21,102,94,92.16,316,293,92.72,43,33,76.74,84,75,89.29,105,89,84.76,14,8,57.14,25,23,92.0,1,19.2,6.92,5.86,17.83,18.78,8.24,0,-1
16,2022-05-10,4-3-3,2,2.08,14,5,35.71,498,423,84.94,61.86,92,17,29,46,84,32,41,11,225,101,44.89,6,1,16.67,40,7,17.5,2,1,50.0,22,4,18.18,3,2,66.67,4,3,75.0,0,0,0,21,6,28.57,6,12,35,7,10,32,81,35,43.21,2,1,9,4,44.44,71,39,54.93,27,8,29.63,2,1,50.0,38,21,12,0,0,157,127,80.89,81,74,91.36,176,154,87.5,50,36,72.0,52,41,78.85,77,56,72.73,4,2,50.0,20,17,85.0,6,16.59,4.53,10.04,16.07,18.31,6.39,0,-1
17,2022-05-07,4-3-3,1,0.95,22,3,13.64,628,539,85.83,60.85,126,8,22,96,102,17,49,36,198,90,45.45,13,3,23.08,56,10,17.86,6,3,50.0,22,8,36.36,11,7,63.64,5,2,40.0,0,0,0,33,9,27.27,9,17,59,9,21,36,78,30,38.46,0,1,8,3,37.5,71,37,52.11,28,16,57.14,5,1,20.0,49,11,12,3,0,197,158,80.2,90,87,96.67,251,219,87.25,56,31,55.36,92,75,81.52,85,78,91.76,6,0,0.0,19,18,94.74,4,19.32,5.56,8.92,20.1,18.03,4.22,1,0
18,2022-04-30,4-3-3,1,2.38,23,9,39.13,503,437,86.88,64.82,92,14,42,36,87,31,46,10,225,110,48.89,9,2,22.22,31,13,41.94,4,1,25.0,28,7,25.0,6,5,83.33,3,1,33.33,0,0,0,10,4,40.0,7,14,27,7,5,27,73,32,43.84,1,0,4,2,50.0,72,45,62.5,48,22,45.83,4,2,50.0,44,15,11,3,0,155,119,76.77,84,76,90.48,175,164,93.71,52,36,69.23,53,42,79.25,77,56,72.73,1,0,0.0,15,13,86.67,2,17.86,4.93,10.34,18.17,18.52,4.67,0,-1
19,2022-04-24,4-3-3,2,1.99,14,4,28.57,759,684,90.12,75.79,128,16,33,79,81,33,24,24,207,109,52.66,5,1,20.0,43,10,23.26,1,0,0.0,29,4,13.79,13,3,23.08,1,0,0.0,0,0,0,25,7,28.0,8,23,49,9,15,33,76,28,36.84,1,0,9,1,11.11,63,47,74.6,27,14,51.85,3,2,66.67,28,11,8,2,0,199,174,87.44,116,110,94.83,297,274,92.26,37,27,72.97,104,98,94.23,94,87,92.55,9,5,55.56,29,28,96.55,9,19.53,7.03,4.87,18.17,17.82,5.23,1,1
