,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,2022-08-30,4-2-3-1,2,1.32,9,6,66.67,249,175,70.28,32.78,136,29,39,68,101,48,34,19,246,119,48.37,5,3,60.0,30,6,20.0,1,1,100.0,19,2,10.53,5,2,40.0,1,0,0.0,0,0,0,9,1,11.11,1,7,16,2,5,12,71,25,35.21,0,1,8,4,50.0,79,47,59.49,46,23,50.0,4,1,25.0,60,32,15,2,0,109,70,64.22,40,35,87.5,54,39,72.22,42,27,64.29,40,28,70.0,59,39,66.1,1,0,0.0,28,24,85.71,4,15.87,2.47,16.87,17.46,20.23,10.49,1,1
11,11,2022-08-27,4-2-3-1,0,2.55,17,5,29.41,358,285,79.61,51.35,114,12,32,70,109,31,51,27,247,104,42.11,3,0,0.0,38,13,34.21,1,0,0.0,23,4,17.39,5,3,60.0,5,1,20.0,0,0,0,21,10,47.62,10,10,36,6,14,37,80,27,33.75,1,1,11,5,45.45,56,36,64.29,57,24,42.11,3,2,66.67,37,8,4,0,0,133,95,71.43,51,47,92.16,117,103,88.03,55,36,65.45,58,42,72.41,81,70,86.42,4,1,25.0,28,23,82.14,4,14.25,3.17,15.36,14.41,20.71,12.23,1,-1
12,12,2022-08-20,4-2-3-1,2,0.7,8,3,37.5,320,240,75.0,40.72,113,21,38,54,89,40,31,18,208,100,48.08,3,1,33.33,19,4,21.05,1,0,0.0,22,4,18.18,6,3,50.0,1,0,0.0,0,0,0,15,5,33.33,5,4,20,2,9,17,69,31,44.93,1,1,4,2,50.0,70,46,65.71,38,16,42.11,6,3,50.0,30,10,14,3,0,120,71,59.17,44,42,95.45,125,109,87.2,61,33,54.1,56,31,55.36,67,48,71.64,1,1,100.0,20,13,65.0,6,14.83,3.17,19.06,17.37,23.16,16.54,0,1
13,13,2022-08-13,3-4-2-1,2,1.63,13,5,38.46,320,248,77.5,48.28,116,19,40,57,92,34,44,14,251,121,48.21,5,2,40.0,26,6,23.08,5,3,60.0,19,3,15.79,2,1,50.0,3,0,0.0,0,0,0,14,9,64.29,10,2,22,2,10,14,85,35,41.18,1,2,11,5,45.45,62,40,64.52,46,22,47.83,3,3,100.0,49,16,10,1,0,121,79,65.29,44,39,88.64,113,101,89.38,49,22,44.9,52,32,61.54,65,46,70.77,3,2,66.67,26,17,65.38,6,15.16,3.05,15.31,18.59,20.89,7.5,1,0
14,14,2022-08-06,5-3-2,1,0.74,9,2,22.22,402,342,85.07,44.55,96,21,32,43,92,44,27,21,218,86,39.45,4,0,0.0,36,5,13.89,0,0,0.0,18,4,22.22,2,0,0.0,2,3,150.0,0,0,0,19,5,26.32,4,9,22,3,10,20,78,21,26.92,0,4,15,9,60.0,60,38,63.33,35,11,31.43,4,3,75.0,61,10,6,0,0,118,84,71.19,80,78,97.5,163,146,89.57,37,19,51.35,69,57,82.61,77,56,72.73,1,0,0.0,14,12,85.71,6,16.53,3.87,9.2,18.12,21.36,13.41,0,-1
15,15,2022-05-22,4-4-2,1,1.35,7,2,28.57,399,329,82.46,50.99,106,19,32,55,83,36,29,18,183,89,48.63,2,0,0.0,36,4,11.11,1,0,0.0,15,1,6.67,3,0,0.0,2,0,0.0,1,1,100,12,6,50.0,5,3,19,4,6,11,68,27,39.71,3,4,11,6,54.55,61,39,63.93,30,13,43.33,3,3,100.0,37,9,5,1,0,126,88,69.84,74,71,95.95,108,91,84.26,34,17,50.0,53,32,60.38,62,36,58.06,6,4,66.67,21,13,61.9,4,17.27,4.07,8.52,15.4,17.92,10.63,0,-1
16,16,2022-05-17,5-4-1,1,0.2,3,2,66.67,277,216,77.98,31.6,110,40,33,37,89,56,26,7,177,78,44.07,2,1,50.0,15,1,6.67,2,1,50.0,22,1,4.55,1,0,0.0,1,0,0.0,0,0,0,9,3,33.33,2,3,14,2,5,6,43,12,27.91,0,2,24,5,20.83,65,36,55.38,40,17,42.5,0,0,0.0,60,29,6,2,0,112,72,64.29,41,36,87.8,94,81,86.17,48,25,52.08,38,24,63.16,55,29,52.73,4,2,50.0,17,14,82.35,14,15.69,2.95,17.33,25.01,21.64,26.56,1,-1
17,17,2022-05-07,4-4-2,0,0.96,16,5,31.25,457,381,83.37,61.56,103,18,43,42,90,29,49,12,187,95,50.8,7,3,42.86,27,10,37.04,0,0,0.0,27,4,14.81,7,2,28.57,2,0,0.0,0,0,0,25,11,44.0,11,8,35,8,19,31,58,32,55.17,2,3,14,5,35.71,62,35,56.45,29,13,44.83,4,1,25.0,42,12,9,1,0,148,113,76.35,62,60,96.77,163,136,83.44,58,33,56.9,49,39,79.59,73,52,71.23,2,1,50.0,13,12,92.31,9,16.89,4.57,12.69,19.72,16.97,5.79,0,-1
18,18,2022-04-30,4-4-2,1,1.3,8,3,37.5,293,223,76.11,35.16,115,16,52,47,97,43,39,15,279,122,43.73,3,1,33.33,22,2,9.09,2,2,100.0,25,4,16.0,6,1,16.67,5,1,20.0,0,0,0,10,3,30.0,3,5,11,2,3,15,57,16,28.07,0,2,12,5,41.67,112,67,59.82,57,23,40.35,2,0,0.0,40,13,13,1,0,115,72,62.61,48,45,93.75,72,62,86.11,49,22,44.9,38,24,63.16,62,41,66.13,6,1,16.67,16,12,75.0,6,17.71,3.12,16.72,15.99,19.62,10.75,1,-1
19,19,2022-04-24,4-4-2,2,1.04,16,5,31.25,359,272,75.77,47.28,113,22,45,46,105,47,40,18,237,103,43.46,9,3,33.33,34,10,29.41,1,0,0.0,23,5,21.74,6,1,16.67,2,1,50.0,0,0,0,22,7,31.82,7,4,27,3,13,22,61,23,37.7,3,2,7,5,71.43,50,32,64.0,59,28,47.46,1,0,0.0,54,15,7,0,0,130,90,69.23,47,46,97.87,119,98,82.35,54,33,61.11,41,30,73.17,84,47,55.95,2,2,100.0,33,30,90.91,4,18.83,3.07,15.04,22.04,18.88,7.48,0,0
