,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Home Win
10,2022-08-31,5-4-1,1,0.86,10,4,40.0,364,307,84.34,36.79,88,15,27,46,69,31,27,11,150,73,48.67,6,3,50.0,26,8,30.77,1,1,100.0,16,1,6.25,3,0,0.0,1,0,0.0,0,0,0,20,6,30.0,5,4,17,1,12,19,39,15,38.46,1,1,11,5,45.45,52,25,48.08,34,18,52.94,7,4,57.14,42,25,10,2,0,124,87,70.16,53,49,92.45,142,130,91.55,47,24,51.06,56,39,69.64,57,44,77.19,1,1,100.0,16,13,81.25,5,18.17,4.23,12.91,20.71,20.74,19.6,1,0
11,2022-08-28,3-5-2,1,0.18,6,2,33.33,410,320,78.05,40.57,109,21,42,46,75,41,24,10,177,77,43.5,6,2,33.33,19,5,26.32,4,0,0.0,22,0,0.0,2,0,0.0,1,0,0.0,0,0,0,21,4,19.05,3,3,20,5,12,11,59,19,32.2,1,0,9,3,33.33,61,32,52.46,23,10,43.48,2,0,0.0,52,26,10,0,0,158,107,67.72,48,46,95.83,136,118,86.76,52,27,51.92,42,22,52.38,59,35,59.32,2,0,0.0,23,21,91.3,9,17.54,3.63,12.68,23.92,18.62,13.71,0,-1
12,2022-08-21,4-2-3-1,0,1.22,13,3,23.08,458,373,81.44,50.0,112,19,39,54,91,46,27,18,170,84,49.41,5,1,20.0,33,7,21.21,4,1,25.0,18,5,27.78,5,3,60.0,2,1,50.0,0,0,0,21,5,23.81,5,6,22,3,12,21,55,18,32.73,3,2,10,2,20.0,49,29,59.18,32,22,68.75,4,2,50.0,46,16,10,2,0,159,115,72.33,62,55,88.71,162,145,89.51,53,24,45.28,54,39,72.22,80,56,70.0,8,4,50.0,23,21,91.3,7,17.12,4.24,11.57,16.71,20.83,15.85,1,-1
13,2022-08-14,4-2-3-1,0,3.31,17,5,29.41,375,300,80.0,56.48,108,20,41,47,86,43,34,9,207,98,47.34,8,1,12.5,38,10,26.32,2,1,50.0,24,3,12.5,7,2,28.57,2,0,0.0,1,0,0,23,6,26.09,6,6,32,8,11,23,59,27,45.76,2,1,11,7,63.64,52,29,55.77,42,20,47.62,2,2,100.0,34,10,11,1,0,158,121,76.58,50,44,88.0,104,87,83.65,49,36,73.47,54,40,74.07,79,63,79.75,5,1,20.0,25,21,84.0,5,16.11,3.5,13.07,17.24,19.56,9.26,0,1
14,2022-08-07,4-2-3-1,0,0.51,5,1,20.0,254,206,81.1,25.32,78,22,31,25,54,34,15,5,112,40,35.71,1,0,0.0,13,3,23.08,0,0,0.0,16,2,12.5,1,1,100.0,1,0,0.0,0,0,0,10,4,40.0,4,3,15,0,7,7,25,6,24.0,4,2,13,2,15.38,44,20,45.45,28,10,35.71,6,3,50.0,41,14,8,0,0,103,72,69.9,27,25,92.59,95,83,87.37,48,26,54.17,28,14,50.0,50,32,64.0,1,0,0.0,11,9,81.82,11,16.21,3.22,18.9,16.94,22.02,36.33,1,-1
15,2022-05-22,4-2-3-1,1,0.32,7,2,28.57,461,383,83.08,49.79,101,20,36,45,88,48,25,15,182,81,44.51,2,1,50.0,25,5,20.0,7,1,14.29,23,1,4.35,6,0,0.0,1,1,100.0,0,0,0,29,11,37.93,10,5,33,2,20,18,49,21,42.86,0,3,18,7,38.89,55,34,61.82,43,13,30.23,4,2,50.0,39,12,9,1,0,130,91,70.0,74,69,93.24,201,179,89.05,67,46,68.66,56,41,73.21,89,65,73.03,0,0,0.0,20,18,90.0,8,16.98,4.48,14.53,22.22,21.56,13.1,0,1
16,2022-05-15,4-2-3-1,2,0.82,6,2,33.33,169,115,68.05,24.36,99,37,31,31,70,49,16,5,136,54,39.71,1,0,0.0,16,6,37.5,0,0,0.0,22,0,0.0,4,1,25.0,1,0,0.0,0,0,0,8,3,37.5,3,1,8,2,5,10,29,8,27.59,1,2,29,8,27.59,48,21,43.75,34,15,44.12,2,2,100.0,59,32,9,3,0,77,41,53.25,25,22,88.0,45,35,77.78,38,18,47.37,24,10,41.67,41,23,56.1,2,1,50.0,9,8,88.89,17,13.29,2.06,22.49,15.53,24.06,28.6,1,0
17,2022-05-08,4-2-3-1,4,3.21,12,5,41.67,671,615,91.65,63.1,76,12,18,46,60,32,18,10,151,67,44.37,3,1,33.33,35,10,28.57,2,0,0.0,18,1,5.56,5,1,20.0,3,0,0.0,1,1,100,13,4,30.77,5,13,24,0,10,18,60,23,38.33,3,0,8,2,25.0,44,25,56.82,25,11,44.0,9,4,44.44,38,12,7,1,0,185,152,82.16,117,115,98.29,273,260,95.24,40,30,75.0,71,57,80.28,83,69,83.13,8,4,50.0,15,14,93.33,4,18.66,7.99,5.96,14.21,18.1,12.55,0,-1
18,2022-05-01,4-2-3-1,1,0.55,8,3,37.5,571,496,86.87,55.57,101,13,36,52,77,33,33,11,158,78,49.37,1,1,100.0,30,7,23.33,1,0,0.0,18,1,5.56,3,1,33.33,0,0,0.0,0,0,0,20,5,25.0,5,3,27,3,16,13,48,21,43.75,1,2,13,7,53.85,49,25,51.02,41,20,48.78,4,1,25.0,32,6,7,2,0,167,124,74.25,105,103,98.1,225,204,90.67,47,25,53.19,72,56,77.78,85,58,68.24,5,3,60.0,23,19,82.61,6,18.0,6.49,8.23,15.1,19.89,15.09,1,-1
19,2022-04-24,3-4-3,0,0.64,5,2,40.0,314,249,79.3,31.9,112,41,37,34,72,41,19,12,191,83,43.46,1,0,0.0,18,2,11.11,1,0,0.0,29,3,10.34,1,1,100.0,2,0,0.0,0,0,0,9,3,33.33,3,4,17,3,8,10,53,17,32.08,2,1,25,7,28.0,69,44,63.77,28,7,25.0,3,3,100.0,48,20,9,0,1,96,63,65.63,54,47,87.04,103,89,86.41,40,19,47.5,28,19,67.86,64,37,57.81,3,1,33.33,17,14,82.35,17,17.05,3.2,12.74,15.51,18.26,20.21,0,1
