,Unnamed: 0,Date,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home,Win
10,10,2022-04-02,4-5-1,0,0.25,3,1,33.33,204,148,72.55,22.81,87,19,44,24,63,26,26,11,135,56,41.48,2,1,50.0,7,1,14.29,1,1,100.0,15,1,6.67,1,1,100.0,2,0,0.0,0,0,0,7,1,14.29,0,0,6,2,3,3,37,10,27.03,5,2,19,6,31.58,54,24,44.44,29,16,55.17,3,1,33.33,46,22,11,1,0,73,41,56.16,29,25,86.21,57,49,85.96,39,19,48.72,19,5,26.32,28,16,57.14,3,0,0.0,9,8,88.89,12,16.44,3.0,19.12,18.21,19.92,21.83,1,-1
11,11,2022-03-12,4-4-2,0,0.62,8,1,12.5,355,243,68.45,43.64,153,18,62,73,126,55,52,19,187,84,44.92,4,1,25.0,33,4,12.12,2,0,0.0,22,3,13.64,9,1,11.11,4,1,25.0,0,0,0,25,4,16.0,3,5,30,2,13,20,61,20,32.79,4,2,13,4,30.77,49,29,59.18,45,17,37.78,5,3,60.0,50,22,9,1,1,154,88,57.14,53,50,94.34,93,64,68.82,80,37,46.25,62,34,54.84,77,54,70.13,6,3,50.0,14,10,71.43,4,16.65,2.91,22.54,19.92,22.23,12.03,0,-1
12,12,2022-03-05,4-4-2,0,0.87,6,0,0.0,290,202,69.66,27.31,122,21,40,61,99,33,40,26,193,105,54.4,2,0,0.0,23,4,17.39,0,0,0.0,15,1,6.67,5,0,0.0,3,1,33.33,0,0,0,16,6,37.5,6,4,19,3,11,12,45,22,48.89,1,4,11,5,45.45,78,43,55.13,29,15,51.72,5,2,40.0,50,16,12,2,0,110,63,57.27,55,46,83.64,77,58,75.32,49,23,46.94,48,27,56.25,62,41,66.13,3,2,66.67,14,13,92.86,2,18.48,3.12,16.9,18.07,19.09,15.0,1,-1
13,13,2022-03-01,4-4-2,0,0.72,7,1,14.29,324,236,72.84,47.73,145,16,59,70,101,37,46,18,235,113,48.09,1,0,0.0,29,4,13.79,1,1,100.0,25,2,8.0,5,1,20.0,7,1,14.29,0,0,0,20,7,35.0,7,3,20,8,8,19,69,28,40.58,4,2,21,6,28.57,61,34,55.74,61,29,47.54,2,1,50.0,57,19,10,1,0,136,84,61.76,57,53,92.98,87,72,82.76,61,31,50.82,50,29,58.0,77,51,66.23,3,2,66.67,27,18,66.67,4,15.32,2.68,18.83,17.52,23.53,7.66,1,-1
14,14,2022-02-26,4-4-2,1,0.3,5,1,20.0,351,265,75.5,40.92,132,17,55,60,110,38,59,13,231,115,49.78,3,0,0.0,36,2,5.56,0,0,0.0,13,3,23.08,4,2,50.0,3,1,33.33,0,0,0,12,1,8.33,1,3,17,2,9,5,54,18,33.33,2,1,10,4,40.0,86,48,55.81,45,28,62.22,4,0,0.0,59,27,16,2,0,145,88,60.69,58,53,91.38,95,78,82.11,65,35,53.85,59,32,54.24,59,43,72.88,1,0,0.0,26,22,84.62,5,17.65,3.19,18.52,19.47,20.45,8.55,0,0
15,15,2022-02-23,4-4-2,1,1.33,13,4,30.77,319,263,82.45,37.48,102,22,34,46,86,31,34,21,223,107,47.98,6,1,16.67,28,9,32.14,0,0,0.0,19,4,21.05,3,1,33.33,5,3,60.0,0,0,0,17,5,29.41,5,7,24,3,10,18,73,33,45.21,3,0,12,2,16.67,73,43,58.9,40,16,40.0,6,3,50.0,66,28,8,0,0,108,71,65.74,57,57,100.0,99,89,89.9,36,16,44.44,43,29,67.44,45,32,71.11,2,1,50.0,15,15,100.0,10,15.3,3.54,11.29,17.81,20.19,11.54,1,1
16,16,2022-02-19,4-4-2,3,0.72,9,4,44.44,242,172,71.07,31.22,112,23,33,56,81,32,27,22,215,111,51.63,4,0,0.0,18,4,22.22,2,2,100.0,21,2,9.52,4,0,0.0,6,0,0.0,0,0,0,12,1,8.33,1,3,15,3,8,14,54,19,35.19,3,0,9,1,11.11,67,42,62.69,39,23,58.97,4,2,50.0,49,23,12,4,0,101,64,63.37,38,35,92.11,57,40,70.18,37,16,43.24,36,20,55.56,49,29,59.18,0,0,0.0,14,9,64.29,7,16.07,2.72,15.29,22.15,19.52,16.04,0,1
17,17,2022-02-13,4-4-2,0,0.84,7,3,42.86,304,210,69.08,34.48,118,24,42,52,92,41,40,11,145,72,49.66,3,1,33.33,22,5,22.73,0,0,0.0,21,2,9.52,5,1,20.0,0,0,0.0,0,0,0,8,2,25.0,3,1,16,1,7,9,37,15,40.54,7,1,11,4,36.36,36,25,69.44,31,18,58.06,3,1,33.33,42,19,7,0,0,128,73,57.03,56,53,94.64,70,44,62.86,62,28,45.16,40,13,32.5,60,32,53.33,2,0,0.0,24,22,91.67,8,18.02,2.67,20.39,19.83,19.74,26.41,1,-1
18,18,2022-02-08,4-4-2,1,0.65,8,4,50.0,268,204,76.12,35.27,134,34,46,54,94,45,36,13,173,80,46.24,5,2,40.0,22,4,18.18,2,1,50.0,18,3,16.67,2,1,50.0,4,2,50.0,0,0,0,10,3,30.0,3,6,16,2,8,11,57,26,45.61,2,1,20,5,25.0,61,37,60.66,34,9,26.47,3,2,66.67,76,34,11,2,0,97,72,74.23,34,29,85.29,81,61,75.31,42,22,52.38,34,22,64.71,50,38,76.0,4,2,50.0,23,21,91.3,9,16.6,2.53,15.67,21.1,18.84,9.47,1,0
19,19,2022-02-05,4-4-2,0,1.21,13,2,15.38,376,278,73.94,51.2,142,19,57,66,91,37,40,14,223,102,45.74,6,1,16.67,37,10,27.03,2,2,100.0,15,0,0.0,4,0,0.0,3,0,0.0,0,0,0,9,4,44.44,4,5,21,1,9,13,60,15,25.0,3,0,10,5,50.0,68,38,55.88,48,28,58.33,3,2,66.67,51,13,16,1,0,142,85,59.86,65,59,90.77,125,102,81.6,61,31,50.82,60,31,51.67,79,53,67.09,0,0,0.0,43,32,74.42,6,16.67,3.21,16.22,19.98,20.26,7.33,1,0
20,20,2022-01-23,4-4-2,0,0.5,8,0,0.0,194,145,74.74,25.33,112,38,37,37,86,46,29,11,179,89,49.72,4,0,0.0,14,1,7.14,3,3,100.0,17,4,23.53,4,1,25.0,5,1,20.0,0,0,0,5,1,20.0,1,3,12,3,4,8,31,16,51.61,2,0,20,5,25.0,76,37,48.68,52,29,55.77,3,1,33.33,62,46,13,2,0,90,57,63.33,35,31,88.57,46,37,80.43,44,22,50.0,37,19,51.35,41,32,78.05,0,0,0.0,11,7,63.64,10,14.63,2.37,22.68,22.35,21.11,19.9,0,0
21,21,2022-01-02,4-4-2,1,0.81,7,2,28.57,250,172,68.8,43.58,137,24,45,68,94,45,31,18,219,99,45.21,5,1,20.0,31,3,9.68,2,1,50.0,29,2,6.9,3,0,0.0,5,1,20.0,0,0,0,14,3,21.43,3,2,17,1,9,7,75,28,37.33,1,3,22,7,31.82,53,26,49.06,61,29,47.54,3,1,33.33,42,22,7,1,0,122,77,63.11,41,37,90.24,54,37,68.52,47,25,53.19,61,39,63.93,58,42,72.41,1,0,0.0,29,28,96.55,13,13.87,2.0,18.8,19.79,21.59,11.17,0,-1
22,22,2021-12-30,4-4-2,1,1.65,11,3,27.27,342,274,80.12,42.87,105,27,38,40,85,39,33,13,191,77,40.31,3,0,0.0,27,5,18.52,1,1,100.0,16,5,31.25,5,2,40.0,2,1,50.0,0,0,0,19,6,31.58,7,5,24,3,12,11,44,15,34.09,3,3,20,7,35.0,58,24,41.38,44,24,54.55,0,0,0.0,53,23,10,0,0,119,76,63.87,61,57,93.44,127,115,90.55,61,43,70.49,57,39,68.42,70,56,80.0,4,0,0.0,12,11,91.67,8,16.71,3.98,17.84,14.39,22.74,14.86,0,-1
23,23,2021-12-12,4-4-2,0,1.26,9,1,11.11,299,226,75.59,41.66,114,29,31,54,90,41,40,9,247,111,44.94,3,0,0.0,18,4,22.22,5,2,40.0,28,3,10.71,6,2,33.33,6,1,16.67,0,0,0,15,6,40.0,7,6,17,1,9,11,49,23,46.94,1,0,14,3,21.43,79,43,54.43,64,25,39.06,5,3,60.0,58,23,13,2,0,116,75,64.66,48,42,87.5,100,83,83.0,57,29,50.88,62,31,50.0,83,58,69.88,1,1,100.0,10,10,100.0,13,16.53,2.93,19.06,16.33,23.79,9.92,1,0
24,24,2021-12-04,4-4-2,0,0.9,10,1,10.0,335,261,77.91,53.99,104,27,23,54,80,25,41,14,268,136,50.75,4,0,0.0,33,6,18.18,2,0,0.0,19,2,10.53,3,1,33.33,5,0,0.0,0,0,0,9,3,33.33,2,7,21,1,7,9,63,24,38.1,1,1,12,4,33.33,76,55,72.37,62,31,50.0,4,2,50.0,55,16,9,1,0,144,99,68.75,48,45,93.75,106,86,81.13,76,47,61.84,73,44,60.27,80,57,71.25,5,1,20.0,22,21,95.45,6,14.12,3.1,22.69,18.44,21.25,7.65,0,-1
25,25,2021-12-01,4-4-2,0,0.43,8,1,12.5,299,218,72.91,35.76,146,35,51,60,97,37,47,13,239,100,41.84,5,0,0.0,29,4,13.79,2,0,0.0,19,3,15.79,5,2,40.0,2,1,50.0,0,0,0,17,5,29.41,5,5,22,3,13,11,59,20,33.9,2,0,15,3,20.0,78,32,41.03,57,24,42.11,8,3,37.5,64,29,7,3,0,125,76,60.8,43,41,95.35,101,84,83.17,60,31,51.67,62,39,62.9,76,52,68.42,4,1,25.0,14,12,85.71,10,15.7,2.88,20.07,22.74,21.52,11.35,0,0
