,Date,Match,Team,Scheme,Goals,xG,Shots,Shots on Target,Shot Accuracy,Passes,Passes on Target,Pass Accuracy,"Possession, %",Losses,Low Losses,Medium Losses,High Losses,Recoveries,Low Recoveries,Medium Recoveries,High Recoveries,Duels,Duels won,Duel win %,Shots from outside,Shots from outside on target,Shots from outside accuracy,Positional attacks,Positional attacks with shots,Positional attacks with shots %,Counterattacks,Counterattacks with shots,Counterattacks with shots %,Set pieces,Set pieces with shots,Set pieces with shots %,Corners,Corners with shots,Corners with shots %,Free kicks,Free kicks with shots,Free kicks with shots %,Penalties,Penalties converted,Penalties converted %,Crosses,Crosses accurate,Crosses accurate %,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),Penalty area entries runs,Penalty area entries crosses,Touches in penalty area,Offensive duels,Offensive duels won,Offensive duels won %,Offsides,Conceded goals,Shots against,Shots against on target,Shots against on target %,Defensive duels,Defensive duels won,Defensive duels won %,Aerial duels,Aerial duels won,Aerial duels won %,Sliding tackles,Sliding tackles successful,Sliding tackles successful %,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes accurate %,Back passes,Back passes accurate,Back passes accurate %,Lateral passes,Lateral passes accurate,Lateral passes accurate %,Long passes,Long passes accurate,Long passes accurate %,Passes to final third,Passes to final third accurate,Passes to final third accurate %,Progressive passes,Progressive passes accurate,Progressive passes accurate %,Smart passes,Smart passes accurate,Smart passes accurate %,Throw ins,Throw ins accurate,Throw ins accurate %,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Home Team,Away Team,Home,Win
10,2021-03-07,West Bromwich Albion - Newcastle United 0:0,West Bromwich Albion,4-1-4-1,0,1.88,13,2,15.38,371,294,79.25,56.12,126,18,36,72,99,34,39,26,257,138,53.7,5,0,0.0,45,9,20.0,3,0,0.0,25,4,16.0,9,3,33.33,2,0,0.0,0,0,0,34,11,32.35,8,12,39,4,21,29,81,33,40.74,1,0,8,5,62.5,68,43,63.24,72,45,62.5,3,2,66.67,50,23,11,0,0,132,90,68.18,43,42,97.67,124,101,81.45,60,37,61.67,49,30,61.22,60,51,85.0,3,1,33.33,26,23,88.46,5,14.38,3.02,16.17,16.38,21.61,9.85,West Bromwich Albion,Newcastle United,1,0
11,2021-03-04,West Bromwich Albion - Everton 0:1,West Bromwich Albion,4-1-4-1,0,1.3,10,3,30.0,448,371,82.81,46.89,121,25,32,64,91,37,34,20,261,112,42.91,5,2,40.0,43,9,20.93,1,0,0.0,13,1,7.69,3,1,33.33,0,0,0.0,0,0,0,23,7,30.43,8,9,30,3,12,15,108,36,33.33,3,1,11,3,27.27,62,46,74.19,43,12,27.91,3,1,33.33,59,24,9,3,0,159,119,74.84,59,55,93.22,155,138,89.03,55,34,61.82,61,39,63.93,80,60,75.0,2,1,50.0,29,24,82.76,2,16.51,3.86,12.28,16.61,20.28,13.88,West Bromwich Albion,Everton,1,-1
12,2021-02-27,West Bromwich Albion - Brighton & Hove Albion 1:0,West Bromwich Albion,4-1-4-1,1,0.62,6,2,33.33,202,148,73.27,33.86,105,27,28,50,66,30,27,9,226,100,44.25,2,0,0.0,22,4,18.18,1,0,0.0,27,2,7.41,7,1,14.29,2,1,50.0,0,0,0,7,2,28.57,4,3,12,4,3,8,66,19,28.79,1,0,15,6,40.0,71,40,56.34,45,22,48.89,3,2,66.67,51,18,11,0,0,92,57,61.96,34,29,85.29,43,35,81.4,34,13,38.24,39,21,53.85,41,24,58.54,2,1,50.0,28,19,67.86,9,12.76,2.02,16.83,16.88,19.95,12.89,West Bromwich Albion,Brighton & Hove Albion,1,1
13,2021-02-20,Burnley - West Bromwich Albion 0:0,West Bromwich Albion,4-1-4-1,0,1.04,10,3,30.0,229,156,68.12,43.2,101,24,41,36,81,47,26,8,191,100,52.36,7,2,28.57,13,4,30.77,8,4,50.0,33,1,3.03,5,0,0.0,7,1,14.29,0,0,0,8,1,12.5,2,5,14,1,4,8,56,28,50.0,3,0,4,0,0.0,44,28,63.64,57,29,50.88,5,1,20.0,39,20,10,0,1,125,69,55.2,29,28,96.55,52,42,80.77,50,22,44.0,36,18,50.0,52,30,57.69,7,2,28.57,19,16,84.21,11,12.12,2.08,21.83,22.03,22.11,16.53,Burnley,West Bromwich Albion,0,0
14,2021-02-14,West Bromwich Albion - Manchester United 1:1,West Bromwich Albion,4-1-4-1,1,0.95,7,3,42.86,233,172,73.82,29.25,95,32,26,37,64,37,21,6,185,89,48.11,1,0,0.0,21,5,23.81,1,0,0.0,21,2,9.52,4,0,0.0,2,1,50.0,0,0,0,13,6,46.15,7,1,16,1,11,11,41,17,41.46,2,1,8,7,87.5,73,43,58.9,38,13,34.21,5,2,40.0,63,43,13,5,0,94,58,61.7,42,36,85.71,64,51,79.69,50,22,44.0,38,23,60.53,56,37,66.07,2,1,50.0,11,9,81.82,4,14.8,2.48,21.46,14.24,22.61,17.0,West Bromwich Albion,Manchester United,1,0
15,2021-02-07,Tottenham Hotspur - West Bromwich Albion 2:0,West Bromwich Albion,4-1-4-1,0,0.89,4,1,25.0,273,214,78.39,35.0,109,27,46,36,65,34,26,5,225,115,51.11,0,0,0.0,13,0,0.0,2,1,50.0,24,3,12.5,0,0,0.0,5,1,20.0,0,0,0,13,8,61.54,9,1,16,2,10,10,62,27,43.55,4,2,13,6,46.15,81,47,58.02,42,25,59.52,7,5,71.43,50,33,12,2,0,96,57,59.38,50,44,88.0,87,78,89.66,52,26,50.0,28,16,57.14,53,32,60.38,3,1,33.33,16,14,87.5,8,15.13,2.76,19.05,9.18,21.18,18.21,Tottenham Hotspur,West Bromwich Albion,0,-1
16,2021-02-02,Sheffield United - West Bromwich Albion 2:1,West Bromwich Albion,4-4-1-1,1,2.05,8,4,50.0,258,186,72.09,33.24,100,19,33,48,87,36,37,14,246,116,47.15,1,0,0.0,26,3,11.54,1,1,100.0,20,4,20.0,2,0,0.0,4,1,25.0,0,0,0,15,3,20.0,3,5,23,2,11,14,60,21,35.0,3,2,15,6,40.0,63,45,71.43,65,32,49.23,2,2,100.0,41,20,9,1,0,114,71,62.28,37,33,89.19,66,53,80.3,56,30,53.57,52,26,50.0,64,39,60.94,4,3,75.0,19,18,94.74,10,15.91,2.66,21.71,13.77,23.11,20.65,Sheffield United,West Bromwich Albion,0,-1
17,2021-01-30,West Bromwich Albion - Fulham 2:2,West Bromwich Albion,5-3-2,2,0.79,5,3,60.0,319,237,74.29,39.9,113,21,29,63,91,34,41,16,229,106,46.29,1,0,0.0,27,5,18.52,2,0,0.0,18,0,0.0,2,0,0.0,0,0,0.0,0,0,0,13,4,30.77,4,3,17,3,9,8,52,24,46.15,1,2,12,7,58.33,67,34,50.75,56,25,44.64,4,2,50.0,50,16,9,1,0,131,77,58.78,50,47,94.0,89,75,84.27,70,43,61.43,62,34,54.84,73,54,73.97,3,1,33.33,20,15,75.0,7,16.07,2.95,21.94,14.7,22.15,12.07,West Bromwich Albion,Fulham,1,0
18,2021-01-26,West Bromwich Albion - Manchester City 0:5,West Bromwich Albion,4-4-1-1,0,0.47,3,1,33.33,225,164,72.89,25.47,102,19,44,39,58,28,21,9,148,66,44.59,0,0,0.0,15,3,20.0,2,0,0.0,18,0,0.0,3,0,0.0,2,0,0.0,0,0,0,7,1,14.29,0,3,11,2,4,10,28,12,42.86,0,5,16,7,43.75,61,34,55.74,34,11,32.35,2,0,0.0,50,15,8,2,0,99,56,56.57,43,41,95.35,58,48,82.76,51,26,50.98,32,13,40.63,46,26,56.52,3,1,33.33,17,16,94.12,6,14.58,2.45,22.67,12.7,20.12,24.14,West Bromwich Albion,Manchester City,1,-1
19,2021-01-19,West Ham United - West Bromwich Albion 2:1,West Bromwich Albion,4-4-1-1,1,0.54,6,2,33.33,348,272,78.16,42.21,114,27,29,58,78,31,33,14,191,107,56.02,4,1,25.0,26,5,19.23,5,1,20.0,17,0,0.0,1,0,0.0,6,0,0.0,0,0,0,16,4,25.0,5,4,20,5,9,11,40,19,47.5,0,2,14,6,42.86,75,50,66.67,44,24,54.55,3,1,33.33,51,30,9,1,0,131,88,67.18,56,53,94.64,111,94,84.68,53,30,56.6,56,34,60.71,64,44,68.75,2,0,0.0,17,13,76.47,6,15.84,3.45,15.23,19.03,21.0,15.59,West Ham United,West Bromwich Albion,0,-1
20,2021-01-16,Wolverhampton Wanderers - West Bromwich Albion 2:3,West Bromwich Albion,4-4-1-1,3,2.61,11,5,45.45,230,176,76.52,35.09,108,39,37,32,58,26,26,6,235,89,37.87,4,1,25.0,19,5,26.32,4,3,75.0,19,1,5.26,0,0,0.0,1,0,0.0,2,2,100,8,2,25.0,2,6,14,2,6,8,39,13,33.33,2,2,21,5,23.81,98,43,43.88,55,18,32.73,9,7,77.78,47,27,14,1,0,91,64,70.33,30,26,86.67,64,52,81.25,33,19,57.58,29,20,68.97,53,35,66.04,3,2,66.67,25,18,72.0,12,14.15,2.4,14.35,16.66,18.81,14.08,Wolverhampton Wanderers,West Bromwich Albion,0,1
21,2021-01-02,West Bromwich Albion - Arsenal 0:4,West Bromwich Albion,4-4-1-1,0,0.61,6,3,50.0,342,273,79.82,38.08,122,20,33,69,68,20,29,19,214,99,46.26,3,2,66.67,29,3,10.34,2,2,100.0,17,1,5.88,3,1,33.33,2,0,0.0,0,0,0,20,6,30.0,7,6,26,0,17,7,66,22,33.33,3,4,20,13,65.0,63,35,55.56,48,26,54.17,3,2,66.67,55,26,7,1,0,129,89,68.99,67,66,98.51,98,79,80.61,46,26,56.52,58,39,67.24,61,51,83.61,3,2,66.67,18,16,88.89,10,16.5,3.8,13.45,18.52,19.07,18.17,West Bromwich Albion,Arsenal,1,-1
